,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離,A_ゴール期待値,H_ゴール期待値
3854,11,0819,湘南,1-0,A,ＢＭＷス,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,7,0,0,379,15,8,1,4,16,11,20,16,1,5,1,0,30,4,105,6.7%,44.8%,(0.0%),(73.4%),(20.0%),(75.0%),(54.5%),(70.0%),12,2,0,509,17,8,5,9,28,9,15,12,1,1,1,0,39,7,121,9.9%,55.2%,(0.0%),(78.8%),(23.5%),(92.9%),(55.6%),(66.7%),156,"108,334m",166,"110,813m",1.426,0.681
3855,12,0823,川崎Ｆ,1-0,H,豊田ス,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,8,5,0,394,8,12,0,6,19,12,24,23,2,1,1,0,27,5,100,8.0%,40.2%,(12.5%),(81.0%),(25.0%),(84.2%),(16.7%),(50.0%),16,4,0,746,14,7,1,4,22,8,26,13,2,0,0,0,76,18,96,16.7%,59.8%,(0.0%),(86.9%),(28.6%),(100.0%),(25.0%),(65.4%),126,"106,825m",137,"112,965m",2.14,1.157
3856,13,0829,札幌,0-0,A,札幌ド,屋内,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,14,2,1,485,9,8,1,2,13,14,22,25,4,3,2,0,40,15,120,11.7%,53.1%,(0.0%),(78.8%),(33.3%),(100.0%),(21.4%),(50.0%),13,2,0,412,11,19,3,6,20,10,28,25,3,1,0,0,27,10,136,9.6%,46.9%,(0.0%),(75.2%),(27.3%),(90.0%),(40.0%),(53.6%),167,"115,755m",167,"113,505m",0.981,2.373
3857,14,0905,鹿島,1-3,H,豊田ス,曇一時雷雨,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,8,3,0,510,11,14,3,5,19,14,12,21,3,1,2,0,43,13,117,6.8%,53.9%,(12.5%),(81.6%),(27.3%),(84.2%),(35.7%),(75.0%),13,4,0,398,10,16,1,4,27,9,24,20,3,3,1,0,35,9,119,10.9%,46.1%,(23.1%),(74.9%),(40.0%),(88.9%),(33.3%),(70.8%),139,"113,741m",149,"115,646m",1.645,0.999
3858,15,0909,横浜FM,2-1,H,パロ瑞穂,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,9,4,0,279,10,22,3,2,27,4,28,19,3,9,2,0,20,11,125,7.2%,35.4%,(22.2%),(65.9%),(20.0%),(81.5%),(50.0%),(82.1%),8,3,0,623,8,21,9,3,30,9,11,18,0,3,3,0,48,11,129,6.2%,64.6%,(12.5%),(85.1%),(0.0%),(83.3%),(11.1%),(63.6%),173,"118,635m",182,"119,270m",0.51,0.696
3859,16,0913,横浜FC,2-3,A,ニッパツ,曇一時雨,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,12,5,0,386,8,2,2,3,23,11,17,44,1,2,0,0,29,9,99,12.1%,40.1%,(25.0%),(76.9%),(12.5%),(78.3%),(54.5%),(41.2%),14,4,0,679,37,6,2,6,34,18,24,16,1,2,0,0,79,20,113,12.4%,59.9%,(14.3%),(82.6%),(18.9%),(100.0%),(50.0%),(70.8%),150,"118,494m",130,"118,926m",1.255,1.704
3860,17,0919,神戸,2-1,H,豊田ス,晴のち曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,13,6,2,408,16,9,1,7,23,13,23,15,3,1,0,0,29,17,118,11.0%,41.6%,(15.4%),(75.0%),(6.3%),(78.3%),(23.1%),(47.8%),9,2,0,586,9,10,2,3,17,5,16,18,2,1,4,0,51,4,116,7.8%,58.4%,(11.1%),(84.1%),(0.0%),(70.6%),(60.0%),(50.0%),160,"104,489m",164,"112,056m",0.521,2.317
3861,18,0923,Ｇ大阪,1-2,A,パナスタ,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,18,6,0,612,7,13,0,0,25,11,23,20,4,3,1,0,55,15,121,14.9%,54.1%,(11.1%),(85.0%),(42.9%),(76.0%),(45.5%),(73.9%),8,4,0,480,12,15,3,2,19,7,24,18,2,0,3,0,39,12,117,6.8%,45.9%,(12.5%),(79.8%),(25.0%),(94.7%),(14.3%),(66.7%),156,"119,060m",138,"117,782m",1.235,1.234
3862,19,0926,清水,3-1,H,豊田ス,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,11,5,0,602,10,9,2,7,11,10,23,17,2,3,0,0,33,6,94,11.7%,54.1%,(27.3%),(87.5%),(20.0%),(100.0%),(60.0%),(65.2%),11,5,0,517,13,8,3,5,16,11,10,14,0,2,1,0,38,8,95,11.6%,45.9%,(9.1%),(82.4%),(23.1%),(100.0%),(18.2%),(70.0%),131,"113,672m",137,"118,748m",1.432,2.266
3863,29,0930,神戸,0-1,A,ノエスタ,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,15,4,0,646,9,8,2,5,15,7,16,25,5,2,1,0,42,7,105,14.3%,57.8%,(6.7%),(86.4%),(11.1%),(93.3%),(14.3%),(68.8%),5,2,0,455,15,10,2,0,35,8,26,20,2,2,1,0,24,6,117,4.3%,42.2%,(0.0%),(74.9%),(0.0%),(80.0%),(87.5%),(61.5%),143,"117,944m",143,"115,590m",0.554,1.07
3864,20,1004,浦和,1-0,A,埼玉,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,7,2,0,576,14,13,2,7,21,9,23,15,1,1,2,1,42,4,114,6.1%,58.2%,(0.0%),(83.5%),(0.0%),(90.5%),(44.4%),(60.9%),10,5,0,343,9,14,1,4,21,8,29,25,1,2,1,0,24,4,109,9.2%,41.8%,(10.0%),(74.9%),(44.4%),(95.2%),(25.0%),(58.6%),133,"110,885m",137,"104,710m",1.464,0.943
3865,21,1010,Ｃ大阪,1-0,H,パロ瑞穂,雨のち曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,12,4,0,596,19,12,1,4,23,17,10,20,1,3,1,0,54,18,100,12.0%,55.8%,(8.3%),(86.4%),(31.6%),(100.0%),(35.3%),(50.0%),6,2,0,455,14,8,3,1,12,5,11,30,4,1,0,0,44,12,89,6.7%,44.2%,(0.0%),(83.3%),(21.4%),(91.7%),(20.0%),(81.8%),111,"113,472m",121,"114,846m",0.384,1.107
3866,22,1014,札幌,3-0,H,パロ瑞穂,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,14,9,0,411,6,18,3,3,13,12,18,23,1,0,1,0,41,12,114,12.3%,43.7%,(21.4%),(79.3%),(16.7%),(100.0%),(50.0%),(83.3%),6,1,0,562,14,11,0,3,17,16,22,9,1,3,2,0,46,15,114,5.3%,56.3%,(0.0%),(81.5%),(21.4%),(100.0%),(50.0%),(59.1%),158,"112,422m",193,"116,510m",0.808,0.812
3867,23,1018,川崎Ｆ,0-3,A,等々力,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,18,6,0,574,13,8,1,6,10,13,19,20,1,3,0,0,41,14,103,17.5%,47.3%,(16.7%),(84.1%),(38.5%),(90.0%),(61.5%),(68.4%),15,1,0,591,11,12,3,2,19,13,17,9,2,1,1,0,42,6,111,13.5%,52.7%,(0.0%),(83.2%),(18.2%),(94.7%),(23.1%),(70.6%),141,"112,289m",122,"109,713m",1.42,2.203
3868,33,1021,横浜FM,1-2,A,日産ス,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,20,9,0,665,24,12,5,9,25,16,19,10,3,1,0,0,66,21,140,14.3%,56.6%,(10.0%),(82.3%),(20.8%),(88.0%),(50.0%),(57.9%),10,2,0,421,10,17,1,0,24,7,21,21,2,6,1,0,23,5,131,7.6%,43.4%,(10.0%),(76.7%),(20.0%),(70.8%),(42.9%),(61.9%),171,"119,805m",162,"126,316m",0.591,2.304
3869,24,1024,仙台,1-0,H,パロ瑞穂,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,17,7,0,636,22,7,2,13,29,20,14,19,0,1,0,0,49,12,132,12.9%,61.2%,(5.9%),(80.5%),(18.2%),(86.2%),(70.0%),(92.9%),1,0,0,359,11,6,1,1,28,8,15,25,2,2,0,0,27,2,115,0.9%,38.8%,(0.0%),(70.2%),(18.2%),(89.3%),(50.0%),(53.3%),168,"115,936m",189,"117,366m",0.108,0.916
3870,25,1031,鹿島,2-0,A,カシマ,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,11,1,0,553,13,12,1,6,31,16,17,8,3,2,4,1,51,11,135,8.1%,57.6%,(0.0%),(76.5%),(0.0%),(83.9%),(31.3%),(52.9%),9,5,1,348,5,21,2,1,21,11,34,29,2,1,2,0,25,5,132,6.8%,42.4%,(22.2%),(68.4%),(60.0%),(90.5%),(27.3%),(61.8%),155,"118,002m",170,"109,823m",1.944,0.641
3871,26,1103,鳥栖,0-0,A,駅スタ,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,8,1,0,609,18,8,0,5,20,8,19,15,1,0,0,0,43,13,97,8.2%,50.9%,(0.0%),(83.9%),(33.3%),(75.0%),(25.0%),(68.4%),6,3,0,582,8,10,0,2,18,11,19,17,1,0,0,1,27,6,103,5.8%,49.1%,(0.0%),(83.8%),(12.5%),(94.4%),(63.6%),(63.2%),162,"119,903m",170,"123,198m",0.657,0.499
3872,7,1111,広島,0-2,A,Ｅスタ,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,11,3,0,331,13,14,0,3,19,8,15,25,5,3,1,0,26,9,109,10.1%,36.3%,(18.2%),(69.2%),(7.7%),(78.9%),(37.5%),(80.0%),3,1,0,718,7,10,3,8,26,8,13,10,2,0,1,0,47,6,117,2.6%,63.7%,(0.0%),(84.8%),(0.0%),(92.3%),(25.0%),(61.5%),163,"118,251m",183,"114,910m",0.096,0.939
3873,27,1115,FC東京,1-0,H,豊田ス,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,13,5,1,517,10,14,0,6,22,13,16,12,1,0,2,0,36,14,121,10.7%,52.2%,(7.7%),(80.5%),(0.0%),(90.9%),(38.5%),(62.5%),7,2,0,420,4,13,1,2,20,13,21,20,0,0,1,0,23,6,114,6.1%,47.8%,(0.0%),(78.6%),(50.0%),(85.0%),(30.8%),(61.9%),150,"107,225m",160,"110,935m",0.38,1.685
3874,28,1121,湘南,3-1,H,豊田ス,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,14,6,0,717,7,15,0,2,15,11,17,11,2,1,0,0,43,13,113,12.4%,60.1%,(21.4%),(86.5%),(42.9%),(86.7%),(45.5%),(70.6%),6,2,0,403,6,6,1,2,20,13,13,10,2,0,1,0,31,3,109,5.5%,39.9%,(16.7%),(76.2%),(33.3%),(90.0%),(23.1%),(69.2%),170,"117,014m",165,"115,830m",1.487,0.665
3875,30,1128,大分,0-0,H,パロ瑞穂,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,10,2,0,512,16,14,2,2,35,21,16,13,0,1,0,0,45,16,120,8.3%,47.7%,(0.0%),(78.3%),(31.3%),(100.0%),(52.4%),(75.0%),12,2,0,540,14,6,1,3,30,4,16,24,3,2,2,0,34,11,115,10.4%,52.3%,(0.0%),(80.9%),(35.7%),(93.3%),(25.0%),(87.5%),187,"118,366m",171,"119,166m",1.295,0.608
3876,31,1205,柏,1-0,A,三協Ｆ柏,雨のち曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,13,2,0,557,19,8,1,2,25,13,21,13,3,2,1,0,50,12,120,10.8%,51.4%,(0.0%),(79.9%),(31.6%),(80.0%),(61.5%),(76.2%),8,4,0,513,8,14,2,5,22,14,20,27,1,1,1,0,29,6,129,6.2%,48.6%,(12.5%),(81.3%),(12.5%),(81.8%),(50.0%),(60.0%),171,"117,693m",137,"115,294m",0.889,0.751
3877,32,1212,横浜FC,0-0,H,パロ瑞穂,曇,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,16,3,0,427,17,14,1,3,15,12,23,14,2,0,0,1,56,12,106,15.1%,47.2%,(0.0%),(83.6%),(17.6%),(93.3%),(50.0%),(56.5%),10,3,0,518,11,8,0,5,12,12,18,15,1,1,1,0,42,7,100,10.0%,52.8%,(0.0%),(83.4%),(27.3%),(83.3%),(50.0%),(55.6%),125,"114,021m",112,"110,652m",0.995,1.288
3878,34,1219,広島,1-0,H,豊田ス,晴,名古屋グランパス,2020,nago,マッシモ　フィッカデンティ,12,2,0,494,2,12,1,4,11,8,14,37,5,2,0,0,39,9,110,10.9%,49.6%,(8.3%),(80.6%),(0.0%),(81.8%),(25.0%),(64.3%),13,2,0,536,17,9,2,14,18,14,15,16,2,1,0,0,59,22,120,10.8%,50.4%,(0.0%),(79.5%),(29.4%),(88.9%),(28.6%),(80.0%),158,"113,089m",155,"115,702m",0.861,0.752
3879,1,0228,福岡,2-1,A,ベススタ,晴,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,4,0,0,389,16,10,3,6,25,3,21,14,2,1,3,0,27,9,123,3.3%,50.5%,(0.0%),(68.1%),(31.3%),(84.0%),(33.3%),(57.1%),10,6,0,406,8,18,1,4,20,9,16,33,1,2,2,0,33,12,124,8.1%,49.5%,(20.0%),(72.2%),(37.5%),(85.0%),(77.8%),(62.5%),171,"108,906m",186,"106,212m",1.058,0.387
3880,2,0306,札幌,1-0,H,豊田ス,曇,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,11,4,0,402,7,17,0,3,31,15,22,32,2,1,1,0,19,6,119,9.2%,45.7%,(9.1%),(73.4%),(28.6%),(83.9%),(20.0%),(63.6%),8,5,0,512,8,10,1,11,25,17,21,17,1,0,1,0,37,8,122,6.6%,54.3%,(0.0%),(76.4%),(12.5%),(92.0%),(41.2%),(61.9%),163,"113,146m",188,"114,190m",0.747,1.289
3881,3,0310,柏,1-0,A,三協Ｆ柏,晴,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,10,3,0,479,8,9,3,3,29,15,20,32,2,2,0,0,38,8,148,6.8%,50.3%,(0.0%),(68.7%),(0.0%),(96.6%),(26.7%),(75.0%),10,2,0,418,12,9,2,5,31,14,31,29,4,3,1,0,26,8,147,6.8%,49.7%,(10.0%),(66.5%),(16.7%),(80.6%),(21.4%),(58.1%),201,"119,746m",191,"116,041m",1.168,0.889
3882,4,0313,神戸,1-0,A,ノエスタ,屋内,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,10,2,0,717,12,8,0,2,24,9,15,16,2,0,1,0,39,9,107,9.3%,63.8%,(0.0%),(84.8%),(25.0%),(95.8%),(44.4%),(60.0%),7,3,0,376,4,13,0,3,22,5,18,26,6,0,0,0,12,4,119,5.9%,36.2%,(14.3%),(69.4%),(25.0%),(72.7%),(20.0%),(72.2%),157,"116,784m",171,"117,643m",0.443,0.894
3883,5,0317,横浜FC,3-0,H,豊田ス,晴,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,12,7,0,620,12,13,1,6,12,16,16,16,4,2,0,0,35,9,102,11.8%,55.3%,(25.0%),(87.7%),(33.3%),(100.0%),(50.0%),(62.5%),6,2,0,469,12,9,2,2,21,12,24,21,3,1,2,0,42,8,103,5.8%,44.7%,(0.0%),(82.1%),(33.3%),(95.2%),(33.3%),(66.7%),146,"114,109m",189,"114,827m",0.226,1.933
3884,6,0321,鹿島,1-0,A,カシマ,雨,名古屋グランパス,2021,nago,マッシモ　フィッカデンティ,8,1,0,477,12,11,1,5,37,9,12,16,0,1,6,1,34,9,129,6.2%,60.6%,(0.0%),(72.1%),(8.3%),(91.9%),(33.3%),(58.3%),6,2,0,271,8,23,1,2,28,5,19,28,6,1,1,0,17,9,127,4.7%,39.4%,(16.7%),(64.2%),(12.5%),(85.7%),(40.0%),(52.6%),169,"112,171m",165,"110,411m",0.651,0.536
3885,1,0310,神戸,2-3,H,万博,晴れ一時雨,ガンバ大阪,2012,g-os,,18,9,0,502,24,24,2,7,30,8,20,17,0,6,2,0,57,20,162,11.1%,52.8%,(11.1%),(68.7%),(29.2%),(90.0%),(25.0%),(80.0%),14,8,0,353,16,14,6,5,14,16,34,35,7,2,4,0,32,13,145,9.7%,47.2%,(21.4%),(62.9%),(18.8%),(57.1%),(56.3%),(76.5%),,,,,,
3886,2,0317,Ｃ大阪,1-2,A,長居,曇り,ガンバ大阪,2012,g-os,,20,5,0,488,15,15,5,5,18,23,23,34,4,1,1,0,61,17,145,13.8%,52.9%,(10.0%),(79.3%),(26.7%),(94.4%),(34.8%),(78.3%),16,5,0,451,16,12,2,5,23,18,38,25,2,6,1,0,39,8,143,11.2%,47.1%,(6.3%),(73.2%),(18.8%),(91.3%),(55.6%),(86.8%),,,,,,
3887,3,0325,磐田,1-2,H,万博,曇り,ガンバ大阪,2012,g-os,,19,2,0,716,24,16,1,3,37,10,24,14,0,5,2,0,35,14,142,13.4%,63%,(5.3%),(81.1%),(16.7%),(91.9%),(30.0%),(70.8%),6,3,1,364,7,6,6,3,18,9,15,25,1,1,3,0,28,4,124,4.8%,37%,(33.3%),(69.5%),(0.0%),(88.9%),(33.3%),(80.0%),,,,,,
3888,4,0331,新潟,1-1,A,東北電ス,雨,ガンバ大阪,2012,g-os,,19,6,0,369,17,15,4,7,12,12,27,30,5,0,2,0,31,15,139,13.7%,40.3%,(5.3%),(71.5%),(35.3%),(75.0%),(33.3%),(70.4%),11,3,1,729,23,15,1,7,22,10,20,25,2,3,3,0,51,12,145,7.6%,59.7%,(9.1%),(81.3%),(13.0%),(86.4%),(10.0%),(85.0%),,,,,,
3889,5,0407,広島,1-4,A,広島ビ,晴れ,ガンバ大阪,2012,g-os,,20,11,1,457,10,14,2,1,13,8,25,28,7,0,0,0,31,12,129,15.5%,45%,(20.0%),(76.1%),(50.0%),(69.2%),(12.5%),(92.0%),8,4,1,614,21,14,1,7,27,8,12,7,0,2,1,0,49,11,145,5.5%,55%,(12.5%),(81.6%),(28.6%),(85.2%),(25.0%),(75.0%),,,,,,
3890,6,0414,川崎Ｆ,3-2,H,万博,晴れ,ガンバ大阪,2012,g-os,,13,6,0,629,20,20,0,3,26,11,21,18,3,4,2,0,45,13,136,9.6%,54.2%,(23.1%),(80.9%),(30.0%),(92.3%),(45.5%),(81.0%),12,5,0,474,17,11,4,4,21,17,26,26,3,0,4,0,44,18,133,9.0%,45.8%,(16.7%),(77.8%),(17.6%),(71.4%),(29.4%),(61.5%),,,,,,
3891,7,0422,清水,3-1,H,万博,曇り,ガンバ大阪,2012,g-os,,12,8,1,435,13,17,2,4,31,5,22,33,1,3,1,0,26,10,134,9.0%,38.1%,(25.0%),(75.4%),(7.7%),(83.9%),(80.0%),(77.3%),12,5,0,682,24,10,4,5,24,19,24,26,3,2,3,0,52,7,133,9.0%,61.9%,(8.3%),(82.0%),(8.3%),(95.8%),(31.6%),(79.2%),,,,,,
3892,8,0428,鹿島,0-5,A,カシマ,晴れ,ガンバ大阪,2012,g-os,,23,7,0,391,12,11,3,4,23,24,33,34,3,2,1,0,42,21,127,18.1%,43.7%,(21.7%),(72.4%),(41.7%),(91.3%),(70.8%),(72.7%),8,3,0,646,26,12,2,2,23,17,25,18,2,4,4,0,52,13,132,6.1%,56.3%,(0.0%),(84.2%),(30.8%),(87.0%),(29.4%),(76.0%),,,,,,
3893,10,0506,大宮,0-1,A,ＮＡＣＫ,曇りのち晴れ,ガンバ大阪,2012,g-os,,17,4,0,492,11,10,3,2,25,10,11,31,3,3,2,0,35,10,130,13.1%,45.6%,(5.9%),(79.3%),(27.3%),(76.0%),(60.0%),(81.8%),18,2,0,642,30,15,3,4,15,8,23,18,2,2,1,0,61,18,122,14.8%,54.4%,(0.0%),(80.8%),(23.3%),(100.0%),(75.0%),(91.3%),,,,,,
3894,11,0512,仙台,1-1,H,万博,晴れ,ガンバ大阪,2012,g-os,,18,5,0,465,9,24,1,6,12,18,21,25,2,6,1,0,36,15,143,12.6%,46.9%,(5.6%),(74.2%),(22.2%),(75.0%),(50.0%),(61.9%),20,7,0,489,21,11,6,8,29,17,22,13,6,1,3,0,54,13,151,13.2%,53.1%,(5.0%),(75.3%),(14.3%),(93.1%),(58.8%),(77.3%),,,,,,
3895,12,0519,横浜FM,0-0,A,日産ス,晴れ,ガンバ大阪,2012,g-os,,20,4,1,506,20,19,2,3,22,10,21,27,0,0,1,0,55,19,146,13.7%,54%,(0.0%),(76.1%),(15.0%),(81.8%),(50.0%),(81.0%),8,4,0,419,7,16,0,5,25,8,20,46,4,2,2,0,25,6,145,5.5%,46%,(0.0%),(74.7%),(14.3%),(84.0%),(12.5%),(70.0%),,,,,,
3896,13,0525,鳥栖,2-3,H,万博,曇り,ガンバ大阪,2012,g-os,,15,4,0,657,25,18,2,6,31,15,21,27,2,2,0,0,50,18,152,9.9%,60.9%,(13.3%),(79.5%),(28.0%),(90.3%),(46.7%),(71.4%),10,5,0,352,10,13,2,3,19,7,28,30,4,2,3,0,27,9,134,7.5%,39.1%,(30.0%),(63.9%),(30.0%),(73.7%),(57.1%),(78.6%),,,,,,
3897,14,0616,浦和,1-2,H,万博,雨,ガンバ大阪,2012,g-os,,26,9,0,505,20,14,5,8,26,13,17,10,4,3,0,0,67,15,133,19.5%,48%,(3.8%),(81.8%),(5.0%),(92.3%),(46.2%),(70.6%),10,4,0,512,10,11,3,1,13,10,13,29,4,5,0,0,37,12,115,8.7%,52%,(20.0%),(80.5%),(60.0%),(100.0%),(70.0%),(92.3%),,,,,,
3898,15,0623,札幌,4-0,A,札幌ド,屋内,ガンバ大阪,2012,g-os,,7,1,0,385,19,15,1,8,20,12,24,27,3,4,2,0,36,15,128,5.5%,43.2%,(0.0%),(73.8%),(15.8%),(85.0%),(66.7%),(83.3%),20,11,0,573,9,13,4,7,24,10,12,29,2,1,1,0,60,14,129,15.5%,56.8%,(20.0%),(84.5%),(11.1%),(100.0%),(40.0%),(100.0%),,,,,,
3899,9,0627,名古屋,2-2,H,万博,曇り,ガンバ大阪,2012,g-os,,17,6,0,555,20,6,2,14,29,7,15,37,2,3,0,0,51,22,137,12.4%,57.4%,(11.8%),(79.8%),(20.0%),(96.6%),(14.3%),(93.3%),13,5,0,347,17,19,3,4,28,14,18,40,6,2,0,0,29,18,136,9.6%,42.6%,(15.4%),(70.0%),(35.3%),(89.3%),(35.7%),(77.8%),,,,,,
3900,16,0630,柏,2-6,H,万博,雨,ガンバ大阪,2012,g-os,,14,5,0,717,15,16,3,3,18,15,10,9,0,4,1,0,54,11,136,10.3%,61.7%,(14.3%),(83.3%),(46.7%),(94.4%),(40.0%),(70.0%),9,8,0,371,10,18,4,1,14,12,29,18,7,3,2,0,32,9,131,6.9%,38.3%,(66.7%),(72.5%),(20.0%),(71.4%),(58.3%),(69.0%),,,,,,
3901,17,0707,Ｆ東京,2-3,A,味スタ,曇りのち雨,ガンバ大阪,2012,g-os,,12,4,0,427,8,19,3,6,25,12,23,30,5,2,1,0,28,10,139,8.6%,45.2%,(25.0%),(75.6%),(12.5%),(68.0%),(41.7%),(65.2%),16,3,1,579,24,11,2,11,19,11,17,20,3,3,4,0,48,20,139,11.5%,54.8%,(12.5%),(77.9%),(25.0%),(89.5%),(63.6%),(64.7%),,,,,,
3902,18,0714,横浜FM,1-2,H,万博,曇り,ガンバ大阪,2012,g-os,,16,3,0,478,16,15,1,5,33,11,21,24,1,1,2,0,38,8,142,11.3%,51.7%,(6.3%),(73.4%),(12.5%),(87.9%),(18.2%),(66.7%),13,4,0,390,11,17,1,4,26,18,17,30,0,1,3,0,33,9,140,9.3%,48.3%,(15.4%),(70.3%),(27.3%),(84.6%),(55.6%),(88.2%),,,,,,
3903,19,0728,神戸,1-1,A,ホームズ,晴れ,ガンバ大阪,2012,g-os,,15,6,0,358,13,18,3,6,22,16,22,19,2,3,0,0,38,20,126,11.9%,45.5%,(6.7%),(66.5%),(23.1%),(72.7%),(43.8%),(68.2%),12,4,0,439,10,19,3,4,25,11,25,21,2,3,0,0,45,22,132,9.1%,54.5%,(8.3%),(72.4%),(20.0%),(96.0%),(54.5%),(84.0%),,,,,,
3904,20,0804,大宮,3-1,H,万博,晴れ,ガンバ大阪,2012,g-os,,17,7,1,635,13,18,0,6,29,10,13,21,0,7,2,0,46,14,122,13.9%,59.1%,(17.6%),(87.1%),(30.8%),(96.6%),(60.0%),(84.6%),7,1,0,403,10,8,7,2,21,10,13,23,2,0,4,0,33,6,106,6.6%,40.9%,(14.3%),(79.2%),(30.0%),(76.2%),(40.0%),(84.6%),,,,,,
3905,21,0811,Ｃ大阪,2-2,H,万博,雨,ガンバ大阪,2012,g-os,,19,7,0,517,23,16,3,6,23,14,34,29,1,5,0,0,52,17,126,15.1%,60.3%,(10.5%),(81.0%),(26.1%),(95.7%),(50.0%),(76.5%),10,3,0,302,8,12,5,1,31,14,19,27,2,3,4,0,29,5,123,8.1%,39.7%,(20.0%),(66.2%),(25.0%),(80.6%),(35.7%),(68.4%),,,,,,
3906,22,0818,名古屋,5-0,A,豊田ス,曇り,ガンバ大阪,2012,g-os,,6,0,0,481,15,16,3,2,22,11,14,23,0,2,1,1,29,7,119,5.0%,53.1%,(0.0%),(79.2%),(20.0%),(72.7%),(54.5%),(85.7%),20,14,1,468,18,7,2,6,21,15,22,25,6,3,2,0,52,23,115,17.4%,46.9%,(25.0%),(83.1%),(33.3%),(76.2%),(53.3%),(86.4%),,,,,,
3907,23,0825,札幌,7-2,H,万博,晴れ,ガンバ大阪,2012,g-os,,32,13,0,676,20,10,0,13,26,9,13,15,1,3,0,0,63,29,112,28.6%,64.1%,(18.8%),(85.9%),(45.0%),(88.5%),(88.9%),(69.2%),6,2,0,281,11,9,3,6,19,10,14,28,1,0,1,0,15,6,101,5.9%,35.9%,(33.3%),(71.9%),(9.1%),(73.7%),(40.0%),(71.4%),,,,,,
3908,24,0901,鳥栖,1-4,A,ベアスタ,晴れ,ガンバ大阪,2012,g-os,,9,6,0,242,10,16,3,5,18,9,20,36,6,1,2,0,28,13,116,7.8%,36.2%,(44.4%),(67.4%),(30.0%),(50.0%),(66.7%),(80.0%),15,3,0,581,15,22,2,7,20,18,16,16,3,3,1,0,52,17,124,12.1%,63.8%,(6.7%),(84.0%),(20.0%),(85.0%),(50.0%),(68.8%),,,,,,
3909,25,0915,新潟,1-1,H,万博,曇り一時雨,ガンバ大阪,2012,g-os,,16,5,0,515,15,16,1,5,22,16,30,33,0,0,2,0,45,20,132,12.1%,53.1%,(6.3%),(77.9%),(26.7%),(81.8%),(37.5%),(83.3%),10,4,1,476,18,10,0,10,24,13,21,27,1,0,2,0,35,13,133,7.5%,46.9%,(10.0%),(75.2%),(16.7%),(91.7%),(23.1%),(81.0%),,,,,,
