,選手名,選手名（英語）,最終所属,ポジション,生年月日,身長/体重,url
45,青山　夕祐,Yusuke AOYAMA,名古屋,DF,1999/05/08,179/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
46,赤井　秀一,Shuichi AKAI,愛媛,MF,1981/09/02,173/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
47,赤井　秀行,Hideyuki AKAI,相模原,DF,1985/05/02,173/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
48,赤尾　公,Akira AKAO,鹿児島,MF,1988/02/15,177/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
49,赤尾　佳宣,Yoshinobu AKAO,甲府,MF,1975/10/03,172/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
50,赤木　直人,Naoto AKAGI,岡山,MF,1997/12/25,171/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
51,赤木　陽翔,Haruto AKAGI,愛媛,MF,2004/07/07,170/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
52,赤﨑　秀平,Shuhei AKASAKI,仙台,FW,1991/09/01,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
53,赤須　真登,Manato AKASU,札幌,DF,2004/06/16,178/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
54,赤星　貴文,Takafumi AKAHOSHI,山形,MF,1986/05/27,175/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
55,赤星　拓,Taku AKAHOSHI,徳島,GK,1984/04/21,185/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
56,赤星　雄祐,Yusuke AKAHOSHI,讃岐,MF,1994/05/24,166/61,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
57,赤松　秀哉,Shuya AKAMATSU,八戸,DF,1993/05/19,182/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
58,赤嶺　真吾,Shingo AKAMINE,琉球,FW,1983/12/08,180/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
59,安芸　銀治,Ginji AKI,秋田,FW,1994/06/04,181/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
60,安藝　正俊,Masatoshi AKI,相模原,DF,1990/07/09,178/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
61,秋田　英義,Hideyoshi AKITA,岐阜,DF,1974/07/23,178/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
62,秋田　政輝,Masateru AKITA,水戸,MF,1982/09/25,167/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
63,秋田　豊,Yutaka AKITA,京都,DF,1970/08/06,180/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
64,秋野　央樹,Hiroki AKINO,長崎,MF,1994/10/08,176/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
65,秋葉　忠宏,Tadahiro AKIBA,群馬,MF,1975/10/13,173/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
66,秋葉　信秀,Nobuhide AKIBA,YS横浜,DF,1985/04/10,178/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
67,秋葉　勝,Masaru AKIBA,金沢,MF,1984/02/19,173/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
68,秋葉　陽一,Yoichi AKIBA,水戸,DF,1983/11/23,182/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
69,秋葉　竜児,Ryuji AKIBA,仙台,MF,1984/06/13,177/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
70,明本　考浩,Takahiro AKIMOTO,浦和,MF,1998/01/31,170/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
71,秋元　雅博,Masahiro AKIMOTO,広島,FW,1979/04/15,184/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
72,秋本　倫孝,Michitaka AKIMOTO,藤枝,DF,1982/09/24,180/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
73,秋元　陽太,Yota AKIMOTO,愛媛,GK,1987/07/11,181/85,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
74,秋守　蓮,Ren AKIMORI,岡山,DF,2001/09/11,177/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
75,秋山　駿,Shun AKIYAMA,神戸,FW,1999/08/26,176/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
76,秋山　貴嗣,Takashi AKIYAMA,藤枝,DF,1992/10/07,180/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
77,秋山　拓也,Takuya AKIYAMA,長野,DF,1994/08/26,185/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
78,秋山　大地,Daichi AKIYAMA,鳥取,MF,1994/07/28,172/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
79,秋山　裕紀,Hiroki AKIYAMA,新潟,MF,2000/12/09,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
80,秋山　陽介,Yosuke AKIYAMA,仙台,MF,1995/04/13,172/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
81,秋吉　泰佑,Taisuke AKIYOSHI,八戸,MF,1989/04/18,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
82,アクセウ,AXEL Rodrigues De Arruda,Ｃ大阪,MF,1970/01/09,174/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
83,アクレイソン,ACLEISSON Scaion,群馬,MF,1982/05/21,176/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
84,アグスティン　オルテガ,Agustin Leonardo Ortega(AGUSTIN ORTEGA),秋田,MF,1992/12/29,180/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
85,明比　友宏,Tomohiro AKEHI,広島,FW,1999/08/27,172/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
86,揚妻　秀斗,Shuto AGETSUMA,甲府,GK,2002/06/06,182/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
87,アコスタ,Alberto Federico ACOSTA,横浜FM,FW,1966/08/23,176/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
88,浅井　一希,Kazuki ASAI,愛媛,DF,2003/07/06,175/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
89,浅井　寛大,Kanta ASAI,清水,MF,2004/05/16,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
90,浅井　昂介,Kosuke ASAI,名古屋,MF,2000/11/25,171/55,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
91,浅井　俊光,Toshimitsu ASAI,秋田,GK,1983/04/04,182/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
92,浅川　隼人,Hayato ASAKAWA,熊本,FW,1995/05/10,178/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
93,浅川　将輝,Masaki ASAKAWA,川崎Ｆ,GK,1999/01/06,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
94,朝倉　爽,So ASAKURA,鳥取,MF,2003/02/16,171/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
95,朝倉　徳明,Noriaki ASAKURA,札幌,MF,1973/05/11,176/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
96,麻田　将吾,Shogo ASADA,京都,DF,1998/07/06,186/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
97,浅田　大樹,Daiki ASADA,藤枝,DF,1989/04/05,177/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
98,浅沼　優瑠,Suguru ASANUMA,讃岐,GK,1992/04/12,183/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
99,浅沼　達也,Tatsuya ASANUMA,札幌,MF,1970/07/13,173/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
100,浅野　薫,Kaoru ASANO,Ｇ大阪,DF,1973/05/19,181/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
101,浅野　拓磨,Takuma ASANO,広島,FW,1994/11/10,171/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
102,浅野　哲也,Tetsuya ASANO,川崎Ｆ,MF,1967/02/23,185/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
103,浅野　直希,Naoki ASANO,Ｇ大阪,MF,2003/04/21,171/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
104,浅野　雄也,Yuya ASANO,広島,MF,1997/02/17,173/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
105,朝日　大輔,Daisuke ASAHI,富山,MF,1980/07/26,173/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
106,朝比奈　伸,Shin ASAHINA,鳥栖,DF,1976/08/20,182/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
107,浅利　悟,Satoru ASARI,FC東京,MF,1974/06/10,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
108,アシス,Roberto De ASSIS Moreira,札幌,MF,1971/11/10,171/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
109,アシチェリッチ,Nikola ASCERIC,徳島,FW,1991/04/19,196/91,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
110,芦野　翔斗,Shoto ASHINO,YS横浜,MF,1992/07/24,171/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
111,芦部　晃生,Kosei ASHIBE,仙台,FW,2001/04/05,170/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
112,アジウソン,ADILSON Dias Batista,磐田,DF,1968/03/16,183/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
113,アジェノール,Agenor DETOFOL,相模原,GK,1989/12/11,187/84,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
114,アジエル,ADIEL De Oliveira Amorim,湘南,MF,1980/08/13,167/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
115,足助　翔,Sho ASUKE,富山,DF,1985/10/28,178/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
116,東　博樹,Hiroki AZUMA,神戸,DF,1966/07/10,179/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
117,東　浩史,Hiroshi AZUMA,長野,MF,1987/05/15,168/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
118,麻生　瞬,Shun ASO,鹿児島,DF,1985/04/23,170/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
119,アタリバ,Carlos Eduardo Soares(ATALIBA),京都,MF,1979/03/02,180/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
120,アダイウトン,ADAILTON Dos Santos Da Silva,FC東京,MF,1990/12/06,176/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
121,アダウト,ADALTO Batista Da Silva,札幌,MF,1978/08/30,170/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
122,足立　快斗,Kaito ADACHI,山口,MF,2004/09/03,169/55,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
123,足立　翼,Tsubasa ADACHI,Ｇ大阪,MF,2000/09/06,176/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
124,足立　丈英,Hirohide ADACHI,Ｇ大阪,DF,1999/04/17,184/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
125,アダム　タガート,Adam Jake Taggart(ADAM TAGGART),Ｃ大阪,FW,1993/06/02,183/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
126,アチーレ　エマナ（エマナ）,ACHILLE EMANA Edzimbi,徳島,FW,1982/06/05,180/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
127,熱川　徳政,Norimasa ATSUKAWA,沼津,DF,1995/05/31,170/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
128,熱田　眞,Makoto ATSUTA,京都,MF,1976/09/16,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
129,渥美　瑛亮,Eisuke ATSUMI,沼津,MF,1995/12/01,173/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
130,吾妻　弘将,Hiromasa AZUMA,甲府,GK,1977/08/29,180/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
131,アデミウソン,ADEMILSON Braga Bispo Junior,Ｇ大阪,FW,1994/01/09,176/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
132,アドリアーノ,ADRIANO Gerlin Da Silva,浦和,MF,1974/09/20,171/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
133,アドリアーノ,ADRIANO Ferreira Martins,甲府,FW,1982/01/21,175/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
134,アドリアーノ,ADRIANO Faria Pimenta,横浜FC,MF,1982/11/14,170/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
135,アドリエル,ADRIEL Tadeu Ferreira Da Silva,鳥取,DF,1997/05/22,184/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
136,アナイウソン,ANAILSON Brito Noleto,東京Ｖ,MF,1978/03/08,164/59,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
137,阿野　真拓,Mahiro ANO,東京Ｖ,MF,2003/08/30,158/55,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
138,安彦　考真,Takamasa ABIKO,YS横浜,FW,1978/02/01,175/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
139,アピアタウィア　久,Hisashi APPIAH TAWIAH,仙台,DF,1998/10/18,191/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
140,アピッチ　輝,Akira APITCHI,浦和,GK,2003/12/09,185/81,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
