,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
10,アンデルソン　ロペス,Anderson Jose Lopes De Souza(ANDERSON LOPES),アヴァイＦＣ／ブラジル－ＣＮマルシリオ　ジアス／ブラジル－アヴァイＦＣ／ブラジル－アトレチコ　パラナエンセ／ブラジル－サンフレッチェ広島－ＦＣソウル／大韓民国,1993/09/15,北海道コンサドーレ札幌
11,駒井　善成,Yoshiaki KOMAI,京都パープルサンガジュニア－京都サンガF.C.Ｕ－１５－京都サンガF.C.Ｕ－１８－京都サンガF.C.－浦和レッズ－北海道コンサドーレ札幌－浦和レッズ,1992/06/06,北海道コンサドーレ札幌
12,チャナティップ,CHANATHIP Songkrasin,ＢＥＣテロ　サーサナＦＣ／タイ－ムアントンユナイテッド／タイ－北海道コンサドーレ札幌－ムアントンユナイテッド／タイ,1993/10/05,北海道コンサドーレ札幌
13,キム　ミンテ,KIM Min Tae,富平高／大韓民国－光云大／大韓民国－ベガルタ仙台,1993/11/26,北海道コンサドーレ札幌
14,阿波加　俊太,Shunta AWAKA,空知ＦＣ－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－ＳＣ相模原－コンサドーレ札幌－Ｈｏｎｄａ　ＦＣ－北海道コンサドーレ札幌－愛媛ＦＣ,1995/02/07,北海道コンサドーレ札幌
15,大谷　幸輝,Koki OTANI,タイケンＳＣ熊本－ブレイズ熊本－リベルタ北熊本－ベアーズＦＣエスパーダ－ランザ熊本－浦和レッズユース－浦和レッズ－ギラヴァンツ北九州－浦和レッズ－アルビレックス新潟,1989/04/08,北海道コンサドーレ札幌
16,中村　桐耶,Toya NAKAMURA,コンサドーレ札幌Ｕ－１２－ＡＳＣ北海道－北海道コンサドーレ札幌Ｕ－１８－北海道コンサドーレ札幌－Ｈｏｎｄａ　ＦＣ－北海道コンサドーレ札幌－Ｈｏｎｄａ　ＦＣ,2000/07/23,北海道コンサドーレ札幌
17,ガブリエル,GABRIEL Okechukwu,セント ジョージFＣ／マルタ－ＦＣカルパティ　リヴィウ／ウクライナ－ＳＣＣモハメディア／モロッコ－ウィダード　カサブランカ／モロッコ,1995/08/26,北海道コンサドーレ札幌
18,荒野　拓馬,Takuma ARANO,札幌ＦＣ－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８,1993/04/20,北海道コンサドーレ札幌
19,青木　亮太,Ryota AOKI,東京ヴェルディＪｒユース－流通経済大付属柏高－名古屋グランパス－大宮アルディージャ－名古屋グランパス,1996/03/06,北海道コンサドーレ札幌
20,田中　宏武,Hiromu TANAKA,前橋Ｊｒユース－桐生第一高－立正大在学中,1999/04/15,北海道コンサドーレ札幌
21,ドウグラス　オリヴェイラ,Douglas Felisbino De Oliveira(DOUGLAS OLIVEIRA),コリチーバＦＣ／ブラジル－グレミオマリンガＦＣ／ブラジル－コリチーバＦＣ／ブラジル－リオ　ブランコ／ブラジル－アルミランテ・バローゾ／ブラジル－ペロタス／ブラジル－コンコルディア／ブラジル－コスタリカ／ブラジル－イタボライ／ブラジル－ゴイタカスＦＣ／ブラジル－マルシリオ・ジアス／ブラジル－ルヴェルデンセＥＣ／ブラジル－北海道コンサドーレ札幌－ルヴェルデンセＥＣ／ブラジル,1995/01/16,北海道コンサドーレ札幌
22,中野　小次郎,Kojiro NAKANO,ＵＳＦＣ－徳島ヴォルティスＪｒユース－徳島ヴォルティスユース－法政大,1999/03/05,北海道コンサドーレ札幌
23,小柏　剛,Tsuyoshi OGASHIWA,ファナティコス－大宮アルディージャＪｒユース－大宮アルディージャユース－明治大,1998/07/09,北海道コンサドーレ札幌
24,小野　伸二,Shinji ONO,今沢サッカースポーツ少年団－今沢中－清水商業高－浦和レッズ－フェイエノールト／オランダ－浦和レッズ－ＶｆＬボーフム／ドイツ－清水エスパルス－ウェスタンシドニーワ／オーストラリア－北海道コンサドーレ札幌－ＦＣ琉球,1979/09/27,北海道コンサドーレ札幌
25,中島　大嘉,Taika NAKASHIMA,アイリスＦＣ住吉－ＲＩＰ　ＡＣＥ　ＳＣ　Ｕ－１５－国見高,2002/06/08,北海道コンサドーレ札幌
26,佐藤　陽成,Yosei SATO,稚内ジュニアイレブン－稚内南中－北海道コンサドーレ札幌Ｕ－１５,2003/09/03,北海道コンサドーレ札幌
27,西野　奨太,Shota NISHINO,北海道コンサドーレ札幌Ｕ－１２－北海道コンサドーレ札幌Ｕ－１５,2004/05/28,北海道コンサドーレ札幌
28,ジェイ,JAY Bothroyd,アーセナル／イングランド－コヴェントリー　シティ／イングランド－ペルージャ／イタリア－ブラックバーン／イングランド－チャールトン／イングランド－ウルバーハンプトン／イングランド－ストーク　シティ／イングランド－カーディフ　シティ／イングランド－クイーンズ　パーク／イングランド－シェフィールド／イングランド－ムアントンユナイテッド／タイ－ジュビロ磐田,1982/05/07,北海道コンサドーレ札幌
29,岡村　大八,Daihachi OKAMURA,バディＦＣ世田谷－キンダー善光ＳＣ－ＦＣ　ＨＯＲＴＥＮＣＩＡ－前橋育英高－立正大－ザスパクサツ群馬－テゲバジャーロ宮崎－ザスパクサツ群馬,1997/02/15,北海道コンサドーレ札幌
0,小畑　裕馬,Yuma OBATA,アバンツァーレ仙台ＳＣ－ベガルタ仙台Ｊｒユース－ベガルタ仙台ユース,2001/11/07,ベガルタ仙台
1,秋山　陽介,Yosuke AKIYAMA,ジェフユナイテッド千葉Ｕ－１５－流通経済大付属柏高－早稲田大－名古屋グランパス－ジュビロ磐田－名古屋グランパス,1995/04/13,ベガルタ仙台
2,蜂須賀　孝治,Koji HACHISUKA,ホーリーホックＳＳとちぎ－ヴェルディＳＳ小山－桐生第一高－仙台大,1990/07/20,ベガルタ仙台
3,アピアタウィア　久,Hisashi APPIAH TAWIAH,愛知ＦＣ　Ｕ－１２－愛知ＦＣ　Ｕ－１５－東邦高－流通経済大,1998/10/18,ベガルタ仙台
4,上原　力也,Rikiya UEHARA,ＡＣＮジュビロ沼津－ジュビロ磐田Ｕ－１８－ジュビロ磐田,1996/08/25,ベガルタ仙台
5,関口　訓充,Kunimitsu SEKIGUCHI,永山ＦＣ－ＦＣ多摩Ｊｒユース－帝京高－ベガルタ仙台－浦和レッズ－セレッソ大阪,1985/12/26,ベガルタ仙台
6,松下　佳貴,Yoshiki MATSUSHITA,宮前ＳＣ－三津浜中－松山工高－阪南大－ヴィッセル神戸,1994/03/03,ベガルタ仙台
7,赤﨑　秀平,Shuhei AKASAKI,パルティーダ鹿児島Ｕ１２－パルティーダ鹿児島Ｕ１５－佐賀東高－筑波大－鹿島アントラーズ－ガンバ大阪－鹿島アントラーズ－川崎フロンターレ－名古屋グランパス－川崎フロンターレ,1991/09/01,ベガルタ仙台
8,平岡　康裕,Yasuhiro HIRAOKA,富士根北ＳＳＳ－西富士ＦＣ－清水商高－清水エスパルス－コンサドーレ札幌－清水エスパルス－ベガルタ仙台－清水エスパルス,1986/05/23,ベガルタ仙台
9,石原　崇兆,Takayoshi ISHIHARA,トライアングルＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－ファジアーノ岡山－松本山雅ＦＣ,1992/11/17,ベガルタ仙台
10,西村　拓真,Takuma NISHIMURA,名東クラブジュニア－名東クラブＪｒユース－富山第一高－ベガルタ仙台－ＣＳＫＡ　モスクワ／ロシア連邦－ポルティモネンセＳＣ／ポルトガル－ベガルタ仙台－ＣＳＫＡ　モスクワ／ロシア連邦,1996/10/22,ベガルタ仙台
11,吉野　恭平,Kyohei YOSHINO,ＦＣ．　ＡＳＫ－Ａ．Ｃ　Ａｚｚｕｒｒｉ－東京ヴェルディユース－東京ヴェルディ－サンフレッチェ広島－東京ヴェルディ－サンフレッチェ広島－京都サンガF.C.－サンフレッチェ広島－京都サンガF.C.－サンフレッチェ広島,1994/11/08,ベガルタ仙台
12,富田　晋伍,Shingo TOMITA,ＦＣ大平－ヴェルディＳＳ小山－東京ヴェルディユース,1986/06/20,ベガルタ仙台
13,中原　彰吾,Shogo NAKAHARA,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－コンサドーレ札幌－コンケーンＦＣ／タイ－北海道コンサドーレ札幌－ガンバ大阪－北海道コンサドーレ札幌－Ｖ・ファーレン長崎－北海道コンサドーレ札幌,1994/05/19,ベガルタ仙台
14,皆川　佑介,Yusuke MINAGAWA,所沢ＳＣジュニア－所沢ＪｒユースＳＣ－前橋育英高－中央大－サンフレッチェ広島－ロアッソ熊本－サンフレッチェ広島－横浜ＦＣ,1991/10/09,ベガルタ仙台
15,マルティノス,Quentin Geordie Felix MARTINUS,ＳＣヘーレンフェーン／オランダ－スパルタ　ロッテルダム／オランダ－フェレンツヴァーロシュ／ハンガリー－ＦＣエメン／オランダ－ＦＣボタシャニ／ルーマニア－横浜Ｆ・マリノス－浦和レッズ,1991/03/07,ベガルタ仙台
16,井岡　海都,Kaito IOKA,ＨＡＭＡＮＯ　ＪＦＣ－千葉ＳＣ　Ｕ－１５－市立船橋高－仙台大,1998/04/27,ベガルタ仙台
17,ストイシッチ,NEDELJKO STOJISIC,ＦＫ　ＢＡＳＫベオグラード／セルビア－ポルティモネンセＳＣ　Ｕ／ポルトガル,1997/09/25,ベガルタ仙台
18,シマオ　マテ,SIMAO MATE,パナシナイコスＦＣ／ギリシャ－山東魯能／中国－レバンテＵＤ／スペイン－アル　アハリ／カタール,1988/06/23,ベガルタ仙台
19,長倉　颯,Hayate NAGAKURA,Ｉ．Ｏ．キッカーズ－横浜Ｆ・マリノスＪｒユース追浜－横浜Ｆ・マリノスユース－法政大－ＦＣ岐阜,1996/04/29,ベガルタ仙台
20,真瀬　拓海,Takumi MASE,南市川ＪＦＣ－ＪＳＣ　ＣＨＩＢＡ－市立船橋高－阪南大,1998/05/03,ベガルタ仙台
21,加藤　千尋,Chihiro KATO,尾山台ＳＣ－ヴィトーリア目黒ＦＣ－ヴェルディＳ．Ｓ．アジュント－流通経済大付属柏高－流通経済大,1998/12/12,ベガルタ仙台
22,ヤクブ　スウォビィク,JAKUB SLOWIK,スパルタザモツリー／ポーランド－スパルタ・オボルニキ／ポーランド－ヤギエロニア・ビャウィス／ポーランド－ヴァルタ・ポズナン／ポーランド－ヤギエロニア・ビャウィス／ポーランド－ポゴンシュチェチン／ポーランド－シロンスク・ヴロツワフ／ポーランド,1991/08/31,ベガルタ仙台
23,佐々木　匠,Takumi SASAKI,ベガルタ仙台ジュニア－ベガルタ仙台Ｊｒユース－ベガルタ仙台ユース－ベガルタ仙台－徳島ヴォルティス－ベガルタ仙台－カマタマーレ讃岐－ベガルタ仙台－レノファ山口ＦＣ,1998/03/30,ベガルタ仙台
24,エマヌエル　オッティ,EMMANUEL OTI Essigba,ワファＳＣ／ガーナ－ブラガＵ－１９／ポルトガル－ブラガＢ／ポルトガル－エスビャウｆＢ／デンマーク－ブラガＢ／ポルトガル－エスビャウｆＢ／デンマーク－マドゥーラ　ユナイテッ／インドネシア－ＦＣヴィゼラ／ポルトガル,1996/09/24,ベガルタ仙台
25,田中　渉,Wataru TANAKA,ＦＣ尾島ジュニア－前橋ＳＣＪｒユース－桐生第一高,2000/09/23,ベガルタ仙台
26,照山　颯人,Hayato TERUYAMA,柏レイソルＡ．Ａ．ＴＯＲ’８２－柏レイソルＵ－１５－成立学園高－ベガルタ仙台－アスルクラロ沼津,2000/08/28,ベガルタ仙台
27,氣田　亮真,Ryoma KIDA,高柳ＦＣ－カナリーニョＦＣ－カナリーニョＦＣＪｒユース－ジェフユナイテッド千葉Ｕ－１８－専修大－Ｖ・ファーレン長崎,1997/08/12,ベガルタ仙台
28,フォギーニョ,Guilherme Seefeldt Krolow(FOGUINHO),ペロタス／ブラジル－グレミオ／ブラジル－オペラリオ　フェロヴィアリ／ブラジル－セアラーＳＣ／ブラジル－イカーザ／ブラジル－オエステ／ブラジル－アパレシデンセ／ブラジル－グレミオ　エスポルチーヴォ／ブラジル－ＧＤシャヴェス／ポルトガル－クルゼイロＥＣ／ブラジル－ＳＥＲカシアス　ド　スル／ブラジル－クリシューマＥＣ／ブラジル－アヴァイＦＣ／ブラジル,1992/06/15,ベガルタ仙台
29,荒川　颯磨,Soma ARAKAWA,ＦＣプリメーロ－ＦＣ古河,2003/04/18,ベガルタ仙台
30,加藤　壱盛,Issei KATO,浦和三室ＳＳＣ　Ｕ－１２－ＧＲＡＮＤＥ　ＦＣ　Ｕ－１５,2003/05/28,ベガルタ仙台
31,熊谷　柊治,Shuji KUMAGAI,ベガルタ仙台ジュニア－ベガルタ仙台Ｊｒユース,2004/02/10,ベガルタ仙台
32,齋藤　滉介,Kosuke SAITO,ロングライフＦＣ－ベガルタ仙台Ｊｒユース,2004/10/06,ベガルタ仙台
0,クォン　スンテ,KWOUN Sun Tae,全州大／大韓民国－全北現代モータース／大韓民国－尚州尚武／大韓民国－全北現代モータース／大韓民国,1984/09/11,鹿島アントラーズ
1,レオ　シルバ,Hugo Leonardo Silva Serejo(LEO SILVA),クルゼイロ／ブラジル－イパチンガＦＣ／ブラジル－クルゼイロ／ブラジル－ボタフォゴ／ブラジル－グアラチンゲタ／ブラジル－ポルトゲーザ／ブラジル－アルビレックス新潟,1985/12/24,鹿島アントラーズ
2,杉岡　大暉,Daiki SUGIOKA,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－市立船橋高－湘南ベルマーレ,1998/09/08,鹿島アントラーズ
3,永木　亮太,Ryota NAGAKI,ヴェルディジュニア－ＦＣ奈良－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－中央大－湘南ベルマーレ,1988/06/04,鹿島アントラーズ
4,ファン　アラーノ,Juan Matheus Alano Nascimento(JUAN ALANO),ＳＣインテルナショナル／ブラジル－コリチーバＦＣ／ブラジル,1996/09/02,鹿島アントラーズ
5,土居　聖真,Shoma DOI,ＯＳＡフォルトナ山形ＦＣ－鹿島アントラーズＪｒユース－鹿島アントラーズユース,1992/05/21,鹿島アントラーズ
6,エヴェラウド,EVERALDO Stum,グレミオＦＢＰＡ／ブラジル－カシアス　ド　スル／ブラジル－ＣＳアラゴアーノ／ブラジル－フィゲレンセＦＣ／ブラジル－パイサンドゥＳＣ／ブラジル－ＥＣアグア　サンタ／ブラジル－サンタクルスＦＣ／ブラジル－アル　ファイサリー／サウジアラビア－ノボリゾンチーノ／ブラジル－アトレチコ　ゴイアニエンセ／ブラジル－ケレタロＦＣ／メキシコ－シャペコエンセＳＣ／ブラジル,1991/07/05,鹿島アントラーズ
7,和泉　竜司,Ryuji IZUMI,ＦＣ四日市－市立船橋高－明治大－名古屋グランパス,1993/11/06,鹿島アントラーズ
8,荒木　遼太郎,Ryotaro ARAKI,ロアッソ熊本Ｊｒユース－東福岡高,2002/01/29,鹿島アントラーズ
9,永戸　勝也,Katsuya NAGATO,中志津ＳＣ－Ｐ．Ｂ．Ｊ千葉Ｊｒユース－八千代高－法政大－ベガルタ仙台,1995/01/15,鹿島アントラーズ
10,アルトゥール　カイキ,ARTHUR CAIKE do Nascimento Cruz,イラチＳＣ／ブラジル－ロンドリーナＥＣ／ブラジル－パラナ　クルーベ／ブラジル－コリチーバＦＣ／ブラジル－フィゲレンセＦＣ／ブラジル－ＣＲフラメンゴ／ブラジル－ロンドリーナＥＣ／ブラジル－アトレチコ　ゴイアニエンセ／ブラジル－サンタクルスＦＣ／ブラジル－シャペコエンセ／ブラジル－ピラミッドＦＣ／エジプト－アル　シャバブＦＣ／サウジアラビア－ＥＣバイーア／ブラジル－クルゼイロＥＣ／ブラジル,1992/06/15,鹿島アントラーズ
11,上田　綺世,Ayase UEDA,鹿島アントラーズノルテＪｒユース－鹿島学園高－法政大,1998/08/28,鹿島アントラーズ
12,染野　唯月,Itsuki SOMENO,鹿島アントラーズつくばＪｒユース－尚志高,2001/09/12,鹿島アントラーズ
13,三竿　健斗,Kento MISAO,横河武蔵野ＦＣジュニア－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ,1996/04/16,鹿島アントラーズ
14,ディエゴ　ピトゥカ,Diego Cristiano Evaristo(DIEGO PITUCA),ブラジリスＦＣ／ブラジル－ＣＡグアスアーノ／ブラジル－ＳＥマトネンセ／ブラジル－ウニオンサンジョアンＥＣ／ブラジル－ボタフォゴＳＰ／ブラジル－サントスＦＣ／ブラジル,1992/08/15,鹿島アントラーズ
15,広瀬　陸斗,Rikuto HIROSE,土合サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－水戸ホーリーホック－徳島ヴォルティス－横浜Ｆ・マリノス,1995/09/23,鹿島アントラーズ
16,林　尚輝,Naoki HAYASHI,ＲＩＰ　ＡＣＥ　Ｊｒ－ＲＩＰ　ＡＣＥ　Ｊｒユース－立正大淞南高－大阪体育大,1998/06/09,鹿島アントラーズ
17,小川　優介,Yusuke OGAWA,ＮＥＯＳ　ＦＣ－ＦＣ　ＬＡＶＩＤＡ－昌平高,2002/04/14,鹿島アントラーズ
18,遠藤　康,Yasushi ENDO,なかのＦＣ－塩釜ＦＣＪｒユース－塩釜ＦＣユース,1988/04/07,鹿島アントラーズ
19,須藤　直輝,Naoki SUTOH,セレブロＦＣ－大宮アルディージャＪｒユース－昌平高,2002/10/01,鹿島アントラーズ
20,松村　優太,Yuta MATSUMURA,大阪東淀川ＦＣ－静岡学園高,2001/04/13,鹿島アントラーズ
21,町田　浩樹,Koki MACHIDA,鹿島アントラーズつくばＪｒユース－鹿島アントラーズユース,1997/08/25,鹿島アントラーズ
22,早川　友基,Tomoki HAYAKAWA,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－桐蔭学園高－明治大,1999/03/03,鹿島アントラーズ
23,沖　悠哉,Yuya OKI,鹿島アントラーズＪｒユース－鹿島アントラーズユース,1999/08/22,鹿島アントラーズ
24,常本　佳吾,Keigo TSUNEMOTO,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－明治大,1998/10/21,鹿島アントラーズ
25,関川　郁万,Ikuma SEKIGAWA,ＦＣ多摩－流通経済大付属柏高,2000/09/13,鹿島アントラーズ
26,舩橋　佑,Yu FUNABASHI,鹿島アントラーズつくばジュニア－鹿島アントラーズつくばＪｒユース－鹿島アントラーズユース,2002/07/12,鹿島アントラーズ
27,小泉　慶,Kei KOIZUMI,柏ラッセルＦＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－流通経済大付属柏高－アルビレックス新潟－柏レイソル,1995/04/19,鹿島アントラーズ
28,山田　大樹,Taiki YAMADA,鹿島アントラーズＪｒユース－鹿島アントラーズユース,2002/01/08,鹿島アントラーズ
29,犬飼　智也,Tomoya INUKAI,東源台ＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－松本山雅ＦＣ－清水エスパルス－松本山雅ＦＣ－清水エスパルス,1993/05/12,鹿島アントラーズ
30,白崎　凌兵,Ryohei SHIRASAKI,東京ＢＩＧスポーツクラブ－横河武蔵野ＦＣ－ＦＣ東京Ｕ－１５むさし－山梨学院大附属高－清水エスパルス－カターレ富山－清水エスパルス－カターレ富山－清水エスパルス,1993/05/18,鹿島アントラーズ
0,西川　周作,Shusaku NISHIKAWA,宇佐ＦＣＪｒユース－大分トリニータＵ－１５－大分トリニータＵ－１８－大分トリニータ－サンフレッチェ広島,1986/06/18,浦和レッズ
1,宇賀神　友弥,Tomoya UGAJIN,戸田南ＦＣ－浦和レッズＪｒユース－浦和レッズユース－流通経済大－クラブ　ドラゴンズ－流通経済大,1988/03/23,浦和レッズ
2,岩波　拓也,Takuya IWANAMI,須磨ＳＣ－神戸ＦＣ－ヴィッセル神戸Ｊｒユース－ヴィッセル神戸Ｕ－１８－ヴィッセル神戸,1994/06/18,浦和レッズ
3,槙野　智章,Tomoaki MAKINO,井口明神ＦＣ－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－１．ＦＣケルン／ドイツ,1987/05/11,浦和レッズ
4,山中　亮輔,Ryosuke YAMANAKA,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－ジェフユナイテッド千葉－柏レイソル－横浜Ｆ・マリノス,1993/04/20,浦和レッズ
5,キャスパー　ユンカー,Kasper Aalund Junker(KASPER JUNKER),ラナースＦＣ／デンマーク－ＦＣフレゼリシア／デンマーク－ラナースFＣ／デンマーク－オーフスＧＦ／デンマーク－ＡＣホーセンス／デンマーク－スターベクＩＦ／ノルウェー－ＡＣホーセンス／デンマーク－ＦＫボデ／グリムト／ノルウェー,1994/03/05,浦和レッズ
6,西　大伍,Daigo NISHI,コンサドーレ札幌ユース・Ｕ－１５－コンサドーレ札幌ユース・Ｕ－１８－コンサドーレ札幌－アルビレックス新潟－コンサドーレ札幌－鹿島アントラーズ－ヴィッセル神戸,1987/08/28,浦和レッズ
7,武藤　雄樹,Yuki MUTO,ＦＣシリウス－ＦＣ湘南Ｊｒユース－武相高－流通経済大－ベガルタ仙台,1988/11/07,浦和レッズ
8,田中　達也,Tatsuya TANAKA,Ｙ－ＥＡＳＴ－アビスパ福岡Ｕ－１５－東福岡高－九州産業大－ロアッソ熊本－ＦＣ岐阜－ロアッソ熊本－ガンバ大阪－大分トリニータ,1992/06/09,浦和レッズ
9,鈴木　彩艶,Zion SUZUKI,浦和レッズジュニア－浦和レッズＪｒユース－浦和レッズユース,2002/08/21,浦和レッズ
10,伊藤　涼太郎,Ryotaro ITO,ＡＶＡＮＴＩ　ＫＡＮＳＡＩ　ＦＣ－セレッソ大阪Ｕ－１５－作陽高－浦和レッズ－水戸ホーリーホック－浦和レッズ－水戸ホーリーホック－浦和レッズ－大分トリニータ,1998/02/06,浦和レッズ
11,杉本　健勇,Kenyu SUGIMOTO,ＦＣルイラモスヴェジット－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－東京ヴェルディ－セレッソ大阪－川崎フロンターレ－セレッソ大阪,1992/11/18,浦和レッズ
12,明本　考浩,Takahiro AKIMOTO,栃木ＳＣジュニア－栃木ＳＣＪｒユース－栃木ＳＣユース－国士舘大－栃木ＳＣ,1998/01/31,浦和レッズ
13,伊藤　敦樹,Atsuki ITO,あかつき幼稚園サッカークラブ－道祖土サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－流通経済大,1998/08/11,浦和レッズ
14,小泉　佳穂,Yoshio KOIZUMI,光が丘ＫＩＤ　ＳＣ－ＦＣ東京Ｕ－１５むさし－前橋育英高－青山学院大－ＦＣ琉球,1996/10/05,浦和レッズ
15,金子　大毅,Daiki KANEKO,烏山北ＦＣ－ＦＣトッカーノＵ－１５－市立船橋高－神奈川大－湘南ベルマーレ,1998/08/28,浦和レッズ
16,トーマス　デン,THOMAS JOK DENG,メルボルンビクトリー／オーストラリア－ＰＳＶⅡ／オランダ－メルボルンビクトリー／オーストラリア,1997/03/20,浦和レッズ
17,大久保　智明,Tomoaki OKUBO,ビートルイレブン－東京ヴェルディジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－中央大,1998/07/23,浦和レッズ
18,阿部　勇樹,Yuki ABE,富美浜ＦＣ－市川ＦＣ－ジェフユナイテッド市原Ｊｒユース－ジェフユナイテッド市原ユース－ジェフユナイテッド千葉－浦和レッズ－レスターシティＦＣ／イングランド,1981/09/06,浦和レッズ
19,汰木　康也,Koya YURUKI,原ＦＣ－横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－モンテディオ山形,1995/07/03,浦和レッズ
20,塩田　仁史,Hitoshi SHIOTA,日高サッカー少年団－滑川中－水戸短大附属高－流通経済大－ＦＣ東京－大宮アルディージャ－栃木ＳＣ,1981/05/28,浦和レッズ
21,柴戸　海,Kai SHIBATO,いぶき野ＦＣヘリオス－町田ＪＦＣ－市立船橋高－明治大,1995/11/24,浦和レッズ
22,興梠　慎三,Shinzo KOROKI,宮崎東ＳＳＳ－東大宮中－鵬翔高－鹿島アントラーズ,1986/07/31,浦和レッズ
23,藤原　優大,Yudai FUJIWARA,リベロ津軽Ｓ．Ｃ－青森山田中－青森山田高,2002/06/29,浦和レッズ
24,宮本　優太,Yuta MIYAMOTO,田柄ＦＣ－Ｆｏｒｚａ０２－流通経済大付属柏高－流通経済大在学中,1999/12/15,浦和レッズ
25,福島　竜弥,Ryuya FUKUSHIMA,川南大久保サッカー少年団－児湯ＳＣＪｒユース－浦和レッズユース,2002/06/08,浦和レッズ
26,武田　英寿,Hidetoshi TAKEDA,なかのＦＣ－ベガルタ仙台ジュニア－なかのＦＣ－青森山田中－青森山田高,2001/09/15,浦和レッズ
27,関根　貴大,Takahiro SEKINE,ＦＣ鶴ヶ島サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－インゴルシュタット０４／ドイツ－シント＝トロイデン／ベルギー,1995/04/19,浦和レッズ
28,工藤　孝太,Kota KUDO,南紀ＪＳＣ－浦和レッズＪｒユース,2003/08/13,浦和レッズ
29,川﨑　淳,Atsushi KAWASAKI,T・ボレアーレＵＯＺＵ－水橋ＦＣ　Ｕ－１５,2003/07/05,浦和レッズ
30,樋口　耀大,Yota HIGUCHI,アリーバＦＣ　Ｕ－１２－アリーバＦＣ　Ｕ－１５－浦和レッズＪｒユース,2003/08/28,浦和レッズ
