,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
10,アンデルソン　ロペス,Anderson Jose Lopes De Souza(ANDERSON LOPES),1993/09/15,北海道コンサドーレ札幌,ＦＣソウル／大韓民国,サンフレッチェ広島,アトレチコ　パラナエンセ／ブラジル,アヴァイＦＣ／ブラジル,ＣＮマルシリオ　ジアス／ブラジル,アヴァイＦＣ／ブラジル,,,,,,,,,,,,,,,
11,駒井　善成,Yoshiaki KOMAI,1992/06/06,北海道コンサドーレ札幌,浦和レッズ,北海道コンサドーレ札幌,浦和レッズ,京都サンガF.C.,京都サンガF.C.Ｕ-１８,京都サンガF.C.Ｕ-１５,京都パープルサンガジュニア,,,,,,,,,,,,,,
12,チャナティップ,CHANATHIP Songkrasin,1993/10/05,北海道コンサドーレ札幌,ムアントンユナイテッド／タイ,北海道コンサドーレ札幌,ムアントンユナイテッド／タイ,ＢＥＣテロ　サーサナＦＣ／タイ,,,,,,,,,,,,,,,,,
13,キム　ミンテ,KIM Min Tae,1993/11/26,北海道コンサドーレ札幌,ベガルタ仙台,光云大／大韓民国,富平高／大韓民国,,,,,,,,,,,,,,,,,,
14,阿波加　俊太,Shunta AWAKA,1995/02/07,北海道コンサドーレ札幌,愛媛ＦＣ,北海道コンサドーレ札幌,Ｈｏｎｄａ　ＦＣ,コンサドーレ札幌,ＳＣ相模原,コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,空知ＦＣ,,,,,,,,,,,,
15,大谷　幸輝,Koki OTANI,1989/04/08,北海道コンサドーレ札幌,アルビレックス新潟,浦和レッズ,ギラヴァンツ北九州,浦和レッズ,浦和レッズユース,ランザ熊本,ベアーズＦＣエスパーダ,リベルタ北熊本,ブレイズ熊本,タイケンＳＣ熊本,,,,,,,,,,,
16,中村　桐耶,Toya NAKAMURA,2000/07/23,北海道コンサドーレ札幌,Ｈｏｎｄａ　ＦＣ,北海道コンサドーレ札幌,Ｈｏｎｄａ　ＦＣ,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１８,ＡＳＣ北海道,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,
17,ガブリエル,GABRIEL Okechukwu,1995/08/26,北海道コンサドーレ札幌,ウィダード　カサブランカ／モロッコ,ＳＣＣモハメディア／モロッコ,ＦＣカルパティ　リヴィウ／ウクライナ,セント ジョージFＣ／マルタ,,,,,,,,,,,,,,,,,
18,荒野　拓馬,Takuma ARANO,1993/04/20,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,札幌ＦＣ,,,,,,,,,,,,,,,,,,
19,青木　亮太,Ryota AOKI,1996/03/06,北海道コンサドーレ札幌,名古屋グランパス,大宮アルディージャ,名古屋グランパス,流通経済大付属柏高,東京ヴェルディＪｒユース,,,,,,,,,,,,,,,,
20,田中　宏武,Hiromu TANAKA,1999/04/15,北海道コンサドーレ札幌,立正大在学中,桐生第一高,前橋Ｊｒユース,,,,,,,,,,,,,,,,,,
21,ドウグラス　オリヴェイラ,Douglas Felisbino De Oliveira(DOUGLAS OLIVEIRA),1995/01/16,北海道コンサドーレ札幌,ルヴェルデンセＥＣ／ブラジル,北海道コンサドーレ札幌,ルヴェルデンセＥＣ／ブラジル,マルシリオ・ジアス／ブラジル,ゴイタカスＦＣ／ブラジル,イタボライ／ブラジル,コスタリカ／ブラジル,コンコルディア／ブラジル,ペロタス／ブラジル,アルミランテ・バローゾ／ブラジル,リオ　ブランコ／ブラジル,コリチーバＦＣ／ブラジル,グレミオマリンガＦＣ／ブラジル,コリチーバＦＣ／ブラジル,,,,,,,
22,中野　小次郎,Kojiro NAKANO,1999/03/05,北海道コンサドーレ札幌,法政大,徳島ヴォルティスユース,徳島ヴォルティスＪｒユース,ＵＳＦＣ,,,,,,,,,,,,,,,,,
23,小柏　剛,Tsuyoshi OGASHIWA,1998/07/09,北海道コンサドーレ札幌,明治大,大宮アルディージャユース,大宮アルディージャＪｒユース,ファナティコス,,,,,,,,,,,,,,,,,
24,小野　伸二,Shinji ONO,1979/09/27,北海道コンサドーレ札幌,ＦＣ琉球,北海道コンサドーレ札幌,ウェスタンシドニーワ／オーストラリア,清水エスパルス,ＶｆＬボーフム／ドイツ,浦和レッズ,フェイエノールト／オランダ,浦和レッズ,清水商業高,今沢中,今沢サッカースポーツ少年団,,,,,,,,,,
25,中島　大嘉,Taika NAKASHIMA,2002/06/08,北海道コンサドーレ札幌,国見高,ＲＩＰ　ＡＣＥ　ＳＣ　Ｕ-１５,アイリスＦＣ住吉,,,,,,,,,,,,,,,,,,
26,佐藤　陽成,Yosei SATO,2003/09/03,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１５,稚内南中,稚内ジュニアイレブン,,,,,,,,,,,,,,,,,,
27,西野　奨太,Shota NISHINO,2004/05/28,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１５,北海道コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,,,,,
28,ジェイ,JAY Bothroyd,1982/05/07,北海道コンサドーレ札幌,ジュビロ磐田,ムアントンユナイテッド／タイ,シェフィールド／イングランド,クイーンズ　パーク／イングランド,カーディフ　シティ／イングランド,ストーク　シティ／イングランド,ウルバーハンプトン／イングランド,チャールトン／イングランド,ブラックバーン／イングランド,ペルージャ／イタリア,コヴェントリー　シティ／イングランド,アーセナル／イングランド,,,,,,,,,
29,岡村　大八,Daihachi OKAMURA,1997/02/15,北海道コンサドーレ札幌,ザスパクサツ群馬,テゲバジャーロ宮崎,ザスパクサツ群馬,立正大,前橋育英高,ＦＣ　ＨＯＲＴＥＮＣＩＡ,キンダー善光ＳＣ,バディＦＣ世田谷,,,,,,,,,,,,,
30,小畑　裕馬,Yuma OBATA,2001/11/07,ベガルタ仙台,ベガルタ仙台ユース,ベガルタ仙台Ｊｒユース,アバンツァーレ仙台ＳＣ,,,,,,,,,,,,,,,,,,
31,秋山　陽介,Yosuke AKIYAMA,1995/04/13,ベガルタ仙台,名古屋グランパス,ジュビロ磐田,名古屋グランパス,早稲田大,流通経済大付属柏高,ジェフユナイテッド千葉Ｕ-１５,,,,,,,,,,,,,,,
32,蜂須賀　孝治,Koji HACHISUKA,1990/07/20,ベガルタ仙台,仙台大,桐生第一高,ヴェルディＳＳ小山,ホーリーホックＳＳとちぎ,,,,,,,,,,,,,,,,,
33,アピアタウィア　久,Hisashi APPIAH TAWIAH,1998/10/18,ベガルタ仙台,流通経済大,東邦高,愛知ＦＣ　Ｕ-１５,愛知ＦＣ　Ｕ-１２,,,,,,,,,,,,,,,,,
34,上原　力也,Rikiya UEHARA,1996/08/25,ベガルタ仙台,ジュビロ磐田,ジュビロ磐田Ｕ-１８,ＡＣＮジュビロ沼津,,,,,,,,,,,,,,,,,,
35,関口　訓充,Kunimitsu SEKIGUCHI,1985/12/26,ベガルタ仙台,セレッソ大阪,浦和レッズ,ベガルタ仙台,帝京高,ＦＣ多摩Ｊｒユース,永山ＦＣ,,,,,,,,,,,,,,,
36,松下　佳貴,Yoshiki MATSUSHITA,1994/03/03,ベガルタ仙台,ヴィッセル神戸,阪南大,松山工高,三津浜中,宮前ＳＣ,,,,,,,,,,,,,,,,
37,赤﨑　秀平,Shuhei AKASAKI,1991/09/01,ベガルタ仙台,川崎フロンターレ,名古屋グランパス,川崎フロンターレ,鹿島アントラーズ,ガンバ大阪,鹿島アントラーズ,筑波大,佐賀東高,パルティーダ鹿児島Ｕ１５,パルティーダ鹿児島Ｕ１２,,,,,,,,,,,
38,平岡　康裕,Yasuhiro HIRAOKA,1986/05/23,ベガルタ仙台,清水エスパルス,ベガルタ仙台,清水エスパルス,コンサドーレ札幌,清水エスパルス,清水商高,西富士ＦＣ,富士根北ＳＳＳ,,,,,,,,,,,,,
39,石原　崇兆,Takayoshi ISHIHARA,1992/11/17,ベガルタ仙台,松本山雅ＦＣ,ファジアーノ岡山,清水エスパルスユース,清水エスパルスＪｒユース,トライアングルＦＣ,,,,,,,,,,,,,,,,
40,西村　拓真,Takuma NISHIMURA,1996/10/22,ベガルタ仙台,ＣＳＫＡ　モスクワ／ロシア連邦,ベガルタ仙台,ポルティモネンセＳＣ／ポルトガル,ＣＳＫＡ　モスクワ／ロシア連邦,ベガルタ仙台,富山第一高,名東クラブＪｒユース,名東クラブジュニア,,,,,,,,,,,,,
41,吉野　恭平,Kyohei YOSHINO,1994/11/08,ベガルタ仙台,サンフレッチェ広島,京都サンガF.C.,サンフレッチェ広島,京都サンガF.C.,サンフレッチェ広島,東京ヴェルディ,サンフレッチェ広島,東京ヴェルディ,東京ヴェルディユース,Ａ．Ｃ　Ａｚｚｕｒｒｉ,ＦＣ．　ＡＳＫ,,,,,,,,,,
42,富田　晋伍,Shingo TOMITA,1986/06/20,ベガルタ仙台,東京ヴェルディユース,ヴェルディＳＳ小山,ＦＣ大平,,,,,,,,,,,,,,,,,,
43,中原　彰吾,Shogo NAKAHARA,1994/05/19,ベガルタ仙台,北海道コンサドーレ札幌,Ｖ・ファーレン長崎,北海道コンサドーレ札幌,ガンバ大阪,北海道コンサドーレ札幌,コンケーンＦＣ／タイ,コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,
44,皆川　佑介,Yusuke MINAGAWA,1991/10/09,ベガルタ仙台,横浜ＦＣ,サンフレッチェ広島,ロアッソ熊本,サンフレッチェ広島,中央大,前橋育英高,所沢ＪｒユースＳＣ,所沢ＳＣジュニア,,,,,,,,,,,,,
45,マルティノス,Quentin Geordie Felix MARTINUS,1991/03/07,ベガルタ仙台,浦和レッズ,横浜Ｆ・マリノス,ＦＣボタシャニ／ルーマニア,ＦＣエメン／オランダ,フェレンツヴァーロシュ／ハンガリー,スパルタ　ロッテルダム／オランダ,ＳＣヘーレンフェーン／オランダ,,,,,,,,,,,,,,
46,井岡　海都,Kaito IOKA,1998/04/27,ベガルタ仙台,仙台大,市立船橋高,千葉ＳＣ　Ｕ-１５,ＨＡＭＡＮＯ　ＪＦＣ,,,,,,,,,,,,,,,,,
47,ストイシッチ,NEDELJKO STOJISIC,1997/09/25,ベガルタ仙台,ポルティモネンセＳＣ　Ｕ／ポルトガル,ＦＫ　ＢＡＳＫベオグラード／セルビア,,,,,,,,,,,,,,,,,,,
48,シマオ　マテ,SIMAO MATE,1988/06/23,ベガルタ仙台,アル　アハリ／カタール,レバンテＵＤ／スペイン,山東魯能／中国,パナシナイコスＦＣ／ギリシャ,,,,,,,,,,,,,,,,,
49,長倉　颯,Hayate NAGAKURA,1996/04/29,ベガルタ仙台,ＦＣ岐阜,法政大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース追浜,Ｉ．Ｏ．キッカーズ,,,,,,,,,,,,,,,,
50,真瀬　拓海,Takumi MASE,1998/05/03,ベガルタ仙台,阪南大,市立船橋高,ＪＳＣ　ＣＨＩＢＡ,南市川ＪＦＣ,,,,,,,,,,,,,,,,,
51,加藤　千尋,Chihiro KATO,1998/12/12,ベガルタ仙台,流通経済大,流通経済大付属柏高,ヴェルディＳ．Ｓ．アジュント,ヴィトーリア目黒ＦＣ,尾山台ＳＣ,,,,,,,,,,,,,,,,
52,ヤクブ　スウォビィク,JAKUB SLOWIK,1991/08/31,ベガルタ仙台,シロンスク・ヴロツワフ／ポーランド,ポゴンシュチェチン／ポーランド,ヤギエロニア・ビャウィス／ポーランド,ヴァルタ・ポズナン／ポーランド,ヤギエロニア・ビャウィス／ポーランド,スパルタ・オボルニキ／ポーランド,スパルタザモツリー／ポーランド,,,,,,,,,,,,,,
53,佐々木　匠,Takumi SASAKI,1998/03/30,ベガルタ仙台,レノファ山口ＦＣ,ベガルタ仙台,カマタマーレ讃岐,ベガルタ仙台,徳島ヴォルティス,ベガルタ仙台,ベガルタ仙台ユース,ベガルタ仙台Ｊｒユース,ベガルタ仙台ジュニア,,,,,,,,,,,,
54,エマヌエル　オッティ,EMMANUEL OTI Essigba,1996/09/24,ベガルタ仙台,ＦＣヴィゼラ／ポルトガル,マドゥーラ　ユナイテッ／インドネシア,エスビャウｆＢ／デンマーク,ブラガＢ／ポルトガル,エスビャウｆＢ／デンマーク,ブラガＢ／ポルトガル,ブラガＵ-１９／ポルトガル,ワファＳＣ／ガーナ,,,,,,,,,,,,,
55,田中　渉,Wataru TANAKA,2000/09/23,ベガルタ仙台,桐生第一高,前橋ＳＣＪｒユース,ＦＣ尾島ジュニア,,,,,,,,,,,,,,,,,,
56,照山　颯人,Hayato TERUYAMA,2000/08/28,ベガルタ仙台,アスルクラロ沼津,ベガルタ仙台,成立学園高,柏レイソルＵ-１５,柏レイソルＡ．Ａ．ＴＯＲ’８２,,,,,,,,,,,,,,,,
57,氣田　亮真,Ryoma KIDA,1997/08/12,ベガルタ仙台,Ｖ・ファーレン長崎,専修大,ジェフユナイテッド千葉Ｕ-１８,カナリーニョＦＣＪｒユース,カナリーニョＦＣ,高柳ＦＣ,,,,,,,,,,,,,,,
58,フォギーニョ,Guilherme Seefeldt Krolow(FOGUINHO),1992/06/15,ベガルタ仙台,アヴァイＦＣ／ブラジル,クリシューマＥＣ／ブラジル,ＳＥＲカシアス　ド　スル／ブラジル,クルゼイロＥＣ／ブラジル,ＧＤシャヴェス／ポルトガル,グレミオ　エスポルチーヴォ／ブラジル,アパレシデンセ／ブラジル,オエステ／ブラジル,イカーザ／ブラジル,セアラーＳＣ／ブラジル,オペラリオ　フェロヴィアリ／ブラジル,グレミオ／ブラジル,ペロタス／ブラジル,,,,,,,,
59,荒川　颯磨,Soma ARAKAWA,2003/04/18,ベガルタ仙台,ＦＣ古河,ＦＣプリメーロ,,,,,,,,,,,,,,,,,,,
60,加藤　壱盛,Issei KATO,2003/05/28,ベガルタ仙台,ＧＲＡＮＤＥ　ＦＣ　Ｕ-１５,浦和三室ＳＳＣ　Ｕ-１２,,,,,,,,,,,,,,,,,,,
61,熊谷　柊治,Shuji KUMAGAI,2004/02/10,ベガルタ仙台,ベガルタ仙台Ｊｒユース,ベガルタ仙台ジュニア,,,,,,,,,,,,,,,,,,,
62,齋藤　滉介,Kosuke SAITO,2004/10/06,ベガルタ仙台,ベガルタ仙台Ｊｒユース,ロングライフＦＣ,,,,,,,,,,,,,,,,,,,
63,クォン　スンテ,KWOUN Sun Tae,1984/09/11,鹿島アントラーズ,全北現代モータース／大韓民国,尚州尚武／大韓民国,全北現代モータース／大韓民国,全州大／大韓民国,,,,,,,,,,,,,,,,,
64,レオ　シルバ,Hugo Leonardo Silva Serejo(LEO SILVA),1985/12/24,鹿島アントラーズ,アルビレックス新潟,ポルトゲーザ／ブラジル,グアラチンゲタ／ブラジル,ボタフォゴ／ブラジル,クルゼイロ／ブラジル,イパチンガＦＣ／ブラジル,クルゼイロ／ブラジル,,,,,,,,,,,,,,
65,杉岡　大暉,Daiki SUGIOKA,1998/09/08,鹿島アントラーズ,湘南ベルマーレ,市立船橋高,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,,,,,,,,,,,,,,,,,
66,永木　亮太,Ryota NAGAKI,1988/06/04,鹿島アントラーズ,湘南ベルマーレ,中央大,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,ＦＣ奈良,ヴェルディジュニア,,,,,,,,,,,,,,,
67,ファン　アラーノ,Juan Matheus Alano Nascimento(JUAN ALANO),1996/09/02,鹿島アントラーズ,コリチーバＦＣ／ブラジル,ＳＣインテルナショナル／ブラジル,,,,,,,,,,,,,,,,,,,
68,土居　聖真,Shoma DOI,1992/05/21,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズＪｒユース,ＯＳＡフォルトナ山形ＦＣ,,,,,,,,,,,,,,,,,,
69,エヴェラウド,EVERALDO Stum,1991/07/05,鹿島アントラーズ,シャペコエンセＳＣ／ブラジル,ケレタロＦＣ／メキシコ,アトレチコ　ゴイアニエンセ／ブラジル,ノボリゾンチーノ／ブラジル,アル　ファイサリー／サウジアラビア,サンタクルスＦＣ／ブラジル,ＥＣアグア　サンタ／ブラジル,パイサンドゥＳＣ／ブラジル,フィゲレンセＦＣ／ブラジル,ＣＳアラゴアーノ／ブラジル,カシアス　ド　スル／ブラジル,グレミオＦＢＰＡ／ブラジル,,,,,,,,,
70,和泉　竜司,Ryuji IZUMI,1993/11/06,鹿島アントラーズ,名古屋グランパス,明治大,市立船橋高,ＦＣ四日市,,,,,,,,,,,,,,,,,
71,荒木　遼太郎,Ryotaro ARAKI,2002/01/29,鹿島アントラーズ,東福岡高,ロアッソ熊本Ｊｒユース,,,,,,,,,,,,,,,,,,,
72,永戸　勝也,Katsuya NAGATO,1995/01/15,鹿島アントラーズ,ベガルタ仙台,法政大,八千代高,Ｐ．Ｂ．Ｊ千葉Ｊｒユース,中志津ＳＣ,,,,,,,,,,,,,,,,
73,アルトゥール　カイキ,ARTHUR CAIKE do Nascimento Cruz,1992/06/15,鹿島アントラーズ,クルゼイロＥＣ／ブラジル,ＥＣバイーア／ブラジル,アル　シャバブＦＣ／サウジアラビア,ピラミッドＦＣ／エジプト,シャペコエンセ／ブラジル,サンタクルスＦＣ／ブラジル,アトレチコ　ゴイアニエンセ／ブラジル,ロンドリーナＥＣ／ブラジル,ＣＲフラメンゴ／ブラジル,フィゲレンセＦＣ／ブラジル,コリチーバＦＣ／ブラジル,パラナ　クルーベ／ブラジル,ロンドリーナＥＣ／ブラジル,イラチＳＣ／ブラジル,,,,,,,
74,上田　綺世,Ayase UEDA,1998/08/28,鹿島アントラーズ,法政大,鹿島学園高,鹿島アントラーズノルテＪｒユース,,,,,,,,,,,,,,,,,,
75,染野　唯月,Itsuki SOMENO,2001/09/12,鹿島アントラーズ,尚志高,鹿島アントラーズつくばＪｒユース,,,,,,,,,,,,,,,,,,,
76,三竿　健斗,Kento MISAO,1996/04/16,鹿島アントラーズ,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,横河武蔵野ＦＣジュニア,,,,,,,,,,,,,,,,
77,ディエゴ　ピトゥカ,Diego Cristiano Evaristo(DIEGO PITUCA),1992/08/15,鹿島アントラーズ,サントスＦＣ／ブラジル,ボタフォゴＳＰ／ブラジル,ウニオンサンジョアンＥＣ／ブラジル,ＳＥマトネンセ／ブラジル,ＣＡグアスアーノ／ブラジル,ブラジリスＦＣ／ブラジル,,,,,,,,,,,,,,,
78,広瀬　陸斗,Rikuto HIROSE,1995/09/23,鹿島アントラーズ,横浜Ｆ・マリノス,徳島ヴォルティス,水戸ホーリーホック,浦和レッズユース,浦和レッズＪｒユース,土合サッカースポーツ少年団,,,,,,,,,,,,,,,
79,林　尚輝,Naoki HAYASHI,1998/06/09,鹿島アントラーズ,大阪体育大,立正大淞南高,ＲＩＰ　ＡＣＥ　Ｊｒユース,ＲＩＰ　ＡＣＥ　Ｊｒ,,,,,,,,,,,,,,,,,
80,小川　優介,Yusuke OGAWA,2002/04/14,鹿島アントラーズ,昌平高,ＦＣ　ＬＡＶＩＤＡ,ＮＥＯＳ　ＦＣ,,,,,,,,,,,,,,,,,,
81,遠藤　康,Yasushi ENDO,1988/04/07,鹿島アントラーズ,塩釜ＦＣユース,塩釜ＦＣＪｒユース,なかのＦＣ,,,,,,,,,,,,,,,,,,
82,須藤　直輝,Naoki SUTOH,2002/10/01,鹿島アントラーズ,昌平高,大宮アルディージャＪｒユース,セレブロＦＣ,,,,,,,,,,,,,,,,,,
83,松村　優太,Yuta MATSUMURA,2001/04/13,鹿島アントラーズ,静岡学園高,大阪東淀川ＦＣ,,,,,,,,,,,,,,,,,,,
84,町田　浩樹,Koki MACHIDA,1997/08/25,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズつくばＪｒユース,,,,,,,,,,,,,,,,,,,
85,早川　友基,Tomoki HAYAKAWA,1999/03/03,鹿島アントラーズ,明治大,桐蔭学園高,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,,,,,,,,,,,,,,,,,
86,沖　悠哉,Yuya OKI,1999/08/22,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズＪｒユース,,,,,,,,,,,,,,,,,,,
87,常本　佳吾,Keigo TSUNEMOTO,1998/10/21,鹿島アントラーズ,明治大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,,,,,,,,,,,,,,,,,
88,関川　郁万,Ikuma SEKIGAWA,2000/09/13,鹿島アントラーズ,流通経済大付属柏高,ＦＣ多摩,,,,,,,,,,,,,,,,,,,
89,舩橋　佑,Yu FUNABASHI,2002/07/12,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズつくばＪｒユース,鹿島アントラーズつくばジュニア,,,,,,,,,,,,,,,,,,
90,小泉　慶,Kei KOIZUMI,1995/04/19,鹿島アントラーズ,柏レイソル,アルビレックス新潟,流通経済大付属柏高,横浜Ｆ・マリノスＪｒユース,横浜Ｆ・マリノスプライマリー,柏ラッセルＦＣ,,,,,,,,,,,,,,,
91,山田　大樹,Taiki YAMADA,2002/01/08,鹿島アントラーズ,鹿島アントラーズユース,鹿島アントラーズＪｒユース,,,,,,,,,,,,,,,,,,,
92,犬飼　智也,Tomoya INUKAI,1993/05/12,鹿島アントラーズ,清水エスパルス,松本山雅ＦＣ,清水エスパルス,松本山雅ＦＣ,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,東源台ＦＣ,,,,,,,,,,,,,
93,白崎　凌兵,Ryohei SHIRASAKI,1993/05/18,鹿島アントラーズ,清水エスパルス,カターレ富山,清水エスパルス,カターレ富山,清水エスパルス,山梨学院大附属高,ＦＣ東京Ｕ-１５むさし,横河武蔵野ＦＣ,東京ＢＩＧスポーツクラブ,,,,,,,,,,,,
94,西川　周作,Shusaku NISHIKAWA,1986/06/18,浦和レッズ,サンフレッチェ広島,大分トリニータ,大分トリニータＵ-１８,大分トリニータＵ-１５,宇佐ＦＣＪｒユース,,,,,,,,,,,,,,,,
95,宇賀神　友弥,Tomoya UGAJIN,1988/03/23,浦和レッズ,流通経済大,クラブ　ドラゴンズ,流通経済大,浦和レッズユース,浦和レッズＪｒユース,戸田南ＦＣ,,,,,,,,,,,,,,,
96,岩波　拓也,Takuya IWANAMI,1994/06/18,浦和レッズ,ヴィッセル神戸,ヴィッセル神戸Ｕ-１８,ヴィッセル神戸Ｊｒユース,神戸ＦＣ,須磨ＳＣ,,,,,,,,,,,,,,,,
97,槙野　智章,Tomoaki MAKINO,1987/05/11,浦和レッズ,１．ＦＣケルン／ドイツ,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,井口明神ＦＣ,,,,,,,,,,,,,,,,
98,山中　亮輔,Ryosuke YAMANAKA,1993/04/20,浦和レッズ,横浜Ｆ・マリノス,柏レイソル,ジェフユナイテッド千葉,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,,,,,,,,,,,,,,
99,キャスパー　ユンカー,Kasper Aalund Junker(KASPER JUNKER),1994/03/05,浦和レッズ,ＦＫボデ／グリムト／ノルウェー,ＡＣホーセンス／デンマーク,スターベクＩＦ／ノルウェー,ＡＣホーセンス／デンマーク,オーフスＧＦ／デンマーク,ラナースFＣ／デンマーク,ＦＣフレゼリシア／デンマーク,ラナースＦＣ／デンマーク,,,,,,,,,,,,,
100,西　大伍,Daigo NISHI,1987/08/28,浦和レッズ,ヴィッセル神戸,鹿島アントラーズ,コンサドーレ札幌,アルビレックス新潟,コンサドーレ札幌,コンサドーレ札幌ユース・Ｕ-１８,コンサドーレ札幌ユース・Ｕ-１５,,,,,,,,,,,,,,
101,武藤　雄樹,Yuki MUTO,1988/11/07,浦和レッズ,ベガルタ仙台,流通経済大,武相高,ＦＣ湘南Ｊｒユース,ＦＣシリウス,,,,,,,,,,,,,,,,
102,田中　達也,Tatsuya TANAKA,1992/06/09,浦和レッズ,大分トリニータ,ガンバ大阪,ロアッソ熊本,ＦＣ岐阜,ロアッソ熊本,九州産業大,東福岡高,アビスパ福岡Ｕ-１５,ＥＡＳＴ,Ｙ,,,,,,,,,,,
103,鈴木　彩艶,Zion SUZUKI,2002/08/21,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,浦和レッズジュニア,,,,,,,,,,,,,,,,,,
