,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
22,青木　想真,Soma AOKI,DF,2001/05/22,179,64,,,,,,,,,,,,,,,,,,,,,,
23,青木　拓矢,Takuya AOKI,MF,1989/09/16,179,77,ＦＣ東京,浦和レッズ,大宮アルディージャ,前橋育英高,ＦＣ前橋Ｊｒユース,ＦＣホリコシ,高崎西ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,青木　剛,Takeshi AOKI,DF,1982/09/28,183,75,,,,,,,,,,,,,,,,,,,,,,
25,青木　翼,Tsubasa AOKI,DF,1993/11/17,182,76,,,,,,,,,,,,,,,,,,,,,,
26,青木　友佑,Yusuke AOKI,FW,2002/08/30,170,67,,,,,,,,,,,,,,,,,,,,,,
27,青木　義孝,Yoshitaka AOKI,DF,1998/09/02,175,68,ＦＣ町田ゼルビア,拓殖大,ＦＣ町田ゼルビアユース,ＦＣ町田ゼルビアＪｒユース,八王子ＣＢＸ　ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,青木　陸,Riku AOKI,GK,2001/08/12,183,62,,,,,,,,,,,,,,,,,,,,,,
29,青木　亮太,Ryota AOKI,MF,1996/03/06,174,68,北海道コンサドーレ札幌,名古屋グランパス,大宮アルディージャ,名古屋グランパス,流通経済大付属柏高,東京ヴェルディＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,青木　良太,Ryota AOKI,DF,1984/08/19,182,74,,,,,,,,,,,,,,,,,,,,,,
31,青島　太一,Taichi AOSHIMA,MF,2001/04/17,167,60,,,,,,,,,,,,,,,,,,,,,,
32,青島　拓馬,Takuma AOSHIMA,MF,1993/04/06,171,70,ブラウブリッツ秋田,法政大,浜松開誠館高,浜松開誠館中,芳川サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,青嶋　文明,Fumiaki AOSHIMA,FW,1968/07/12,178,76,,,,,,,,,,,,,,,,,,,,,,
34,青田　翔,Sho AOTA,FW,1986/11/13,166,62,,,,,,,,,,,,,,,,,,,,,,
35,青野　聖樹,Ibuki AONO,MF,1999/08/02,166,60,,,,,,,,,,,,,,,,,,,,,,
36,青野　大介,Daisuke AONO,MF,1979/09/19,175,71,,,,,,,,,,,,,,,,,,,,,,
37,青葉　幸洋,Yukihiro AOBA,DF,1979/07/26,174,70,,,,,,,,,,,,,,,,,,,,,,
38,青柳　仰,Go AOYAGI,DF,2005/06/03,177,66,,,,,,,,,,,,,,,,,,,,,,
39,青山　生,Ikiru AOYAMA,DF,1996/04/11,174,70,テゲバジャーロ宮崎,福岡大,筑陽学園高,ＶＡＬＥＮＴＩＡ,小郡南ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,青山　隼,Jun AOYAMA,MF,1988/01/03,182,75,,,,,,,,,,,,,,,,,,,,,,
41,青山　敏弘,Toshihiro AOYAMA,MF,1986/02/22,173,75,サンフレッチェ広島,作陽高,ＫＳＳ　ＨＡＪＡＸＳ　ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,青山　直晃,Naoaki AOYAMA,DF,1986/07/18,182,75,,,,,,,,,,,,,,,,,,,,,,
43,青山　景昌,Hiroaki AOYAMA,MF,1996/10/14,169,67,福島ユナイテッドＦＣ,びわこ成蹊スポーツ大,中央大,名古屋グランパスＵ-１８,名古屋グランパスＵ-１５,名古屋グランパスＵ-１２,津島ＳＳＳ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,青山　夕祐,Yusuke AOYAMA,DF,1999/05/08,179,66,,,,,,,,,,,,,,,,,,,,,,
45,赤井　秀一,Shuichi AKAI,MF,1981/09/02,173,66,,,,,,,,,,,,,,,,,,,,,,
46,赤井　秀行,Hideyuki AKAI,DF,1985/05/02,173,71,,,,,,,,,,,,,,,,,,,,,,
47,赤尾　公,Akira AKAO,MF,1988/02/15,177,75,,,,,,,,,,,,,,,,,,,,,,
48,赤尾　佳宣,Yoshinobu AKAO,MF,1975/10/03,172,63,,,,,,,,,,,,,,,,,,,,,,
49,赤木　直人,Naoto AKAGI,MF,1997/12/25,171,70,,,,,,,,,,,,,,,,,,,,,,
50,赤木　陽翔,Haruto AKAGI,MF,2004/07/07,170,62,,,,,,,,,,,,,,,,,,,,,,
51,赤﨑　秀平,Shuhei AKASAKI,FW,1991/09/01,174,70,ベガルタ仙台,川崎フロンターレ,名古屋グランパス,川崎フロンターレ,鹿島アントラーズ,ガンバ大阪,鹿島アントラーズ,筑波大,佐賀東高,パルティーダ鹿児島Ｕ１５,パルティーダ鹿児島Ｕ１２,-,-,-,-,-,-,-,-,-,-,-
52,赤須　真登,Manato AKASU,DF,2004/06/16,178,71,,,,,,,,,,,,,,,,,,,,,,
53,赤星　貴文,Takafumi AKAHOSHI,MF,1986/05/27,175,72,,,,,,,,,,,,,,,,,,,,,,
54,赤星　拓,Taku AKAHOSHI,GK,1984/04/21,185,80,,,,,,,,,,,,,,,,,,,,,,
55,赤星　雄祐,Yusuke AKAHOSHI,MF,1994/05/24,166,61,,,,,,,,,,,,,,,,,,,,,,
56,赤松　秀哉,Shuya AKAMATSU,DF,1993/05/19,182,75,ヴァンラーレ八戸,Ｌａｏ　Ｔｏｙｏｔａ　ＦＣ／ラオス,Ｓｕｒａｔｔｈａｎｉ　Ｃｉｔｙ／タイ,Ｋａｓｅｍ　Ｂｕｎｄｉｔ　Ｕｎ／タイ,ラインメール青森ＦＣ,金沢星稜大,北海道大谷室蘭高,向陽中,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,赤嶺　真吾,Shingo AKAMINE,FW,1983/12/08,180,78,ＦＣ琉球,ファジアーノ岡山,ガンバ大阪,ファジアーノ岡山,ガンバ大阪,ベガルタ仙台,ＦＣ東京,ベガルタ仙台,ＦＣ東京,駒澤大,鹿児島実業高,小禄中,ＦＣ小禄,-,-,-,-,-,-,-,-,-
58,安芸　銀治,Ginji AKI,FW,1994/06/04,181,74,,,,,,,,,,,,,,,,,,,,,,
59,安藝　正俊,Masatoshi AKI,DF,1990/07/09,178,75,,,,,,,,,,,,,,,,,,,,,,
60,秋田　英義,Hideyoshi AKITA,DF,1974/07/23,178,80,,,,,,,,,,,,,,,,,,,,,,
61,秋田　政輝,Masateru AKITA,MF,1982/09/25,167,65,,,,,,,,,,,,,,,,,,,,,,
62,秋田　豊,Yutaka AKITA,DF,1970/08/06,180,78,,,,,,,,,,,,,,,,,,,,,,
63,秋野　央樹,Hiroki AKINO,MF,1994/10/08,176,68,Ｖ・ファーレン長崎,湘南ベルマーレ,Ｖ・ファーレン長崎,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,湘南ベルマーレ,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,-,-,-,-,-,-,-,-,-,-
64,秋葉　忠宏,Tadahiro AKIBA,MF,1975/10/13,173,68,,,,,,,,,,,,,,,,,,,,,,
65,秋葉　信秀,Nobuhide AKIBA,DF,1985/04/10,178,72,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｖｏｎｄｓ市原,ジェフリザーブズ,ザスパクサツ群馬,静岡産業大,ジェフユナイテッド市原ユース,ジェフユナイテッド市原Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,秋葉　勝,Masaru AKIBA,MF,1984/02/19,173,67,,,,,,,,,,,,,,,,,,,,,,
67,秋葉　陽一,Yoichi AKIBA,DF,1983/11/23,182,73,,,,,,,,,,,,,,,,,,,,,,
68,秋葉　竜児,Ryuji AKIBA,MF,1984/06/13,177,73,,,,,,,,,,,,,,,,,,,,,,
69,明本　考浩,Takahiro AKIMOTO,MF,1998/01/31,170,65,浦和レッズ,栃木ＳＣ,国士舘大,栃木ＳＣユース,栃木ＳＣＪｒユース,栃木ＳＣジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,秋元　雅博,Masahiro AKIMOTO,FW,1979/04/15,184,77,,,,,,,,,,,,,,,,,,,,,,
71,秋本　倫孝,Michitaka AKIMOTO,DF,1982/09/24,180,77,藤枝ＭＹＦＣ,タイ　ホンダ　ＦＣ／タイ,カターレ富山,京都サンガF.C.,ヴァンフォーレ甲府,法政大,清水商高,城山中,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,秋元　陽太,Yota AKIMOTO,GK,1987/07/11,181,85,愛媛ＦＣ,湘南ベルマーレ,ＦＣ町田ゼルビア,湘南ベルマーレ,ＦＣ東京,湘南ベルマーレ,愛媛ＦＣ,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース菅田,ＣＹＤ　ＦＣ,-,-,-,-,-,-,-,-,-,-,-
73,秋守　蓮,Ren AKIMORI,DF,2001/09/11,177,68,,,,,,,,,,,,,,,,,,,,,,
74,秋山　駿,Shun AKIYAMA,FW,1999/08/26,176,69,,,,,,,,,,,,,,,,,,,,,,
75,秋山　貴嗣,Takashi AKIYAMA,DF,1992/10/07,180,73,藤枝ＭＹＦＣ,ガイナーレ鳥取,関西大,ヴィッセル神戸ユース,丸亀南中,城南小,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,秋山　拓也,Takuya AKIYAMA,DF,1994/08/26,185,77,ＡＣ長野パルセイロ,徳島ヴォルティス,ヴァンフォーレ甲府,アルビレックス新潟シン／シンガポール,大阪体育大,愛知産業大三河高,ＳＣ豊田,豊南ＪＦＴ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,秋山　大地,Daichi AKIYAMA,MF,1994/07/28,172,70,ガイナーレ鳥取,セレッソ大阪,モンテディオ山形,セレッソ大阪,愛媛ＦＣ,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,藤井寺サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-
78,秋山　裕紀,Hiroki AKIYAMA,MF,2000/12/09,176,70,アルビレックス新潟,アスルクラロ沼津,アルビレックス新潟,前橋育英高,前橋ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,秋山　陽介,Yosuke AKIYAMA,MF,1995/04/13,172,70,ベガルタ仙台,名古屋グランパス,ジュビロ磐田,名古屋グランパス,早稲田大,流通経済大付属柏高,ジェフユナイテッド千葉Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,秋吉　泰佑,Taisuke AKIYOSHI,MF,1989/04/18,174,68,ヴァンラーレ八戸,ラインメール青森ＦＣ,ファジアーノ岡山,ヴァンフォーレ甲府,ＳＫシュトゥルム　グラ／オーストリア,ＮＫズビエ／ボスニア・ヘルツェゴビナ,ＰＦＣスラヴィア　ソフィ／ブルガリア,アームド　フォーシズ／シンガポール,アルビレックス新潟・Ｓ／シンガポール,ルーテル学院高,ルーテル学院中,ブレイズ熊本ジュニア,-,-,-,-,-,-,-,-,-,-
81,アクセウ,AXEL Rodrigues De Arruda,MF,1970/01/09,174,69,,,,,,,,,,,,,,,,,,,,,,
82,アクレイソン,ACLEISSON Scaion,MF,1982/05/21,176,80,,,,,,,,,,,,,,,,,,,,,,
83,アグスティン　オルテガ,Agustin Leonardo Ortega(AGUSTIN ORTEGA),MF,1992/12/29,180,76,,,,,,,,,,,,,,,,,,,,,,
84,明比　友宏,Tomohiro AKEHI,FW,1999/08/27,172,65,,,,,,,,,,,,,,,,,,,,,,
85,揚妻　秀斗,Shuto AGETSUMA,GK,2002/06/06,182,77,,,,,,,,,,,,,,,,,,,,,,
86,浅井　一希,Kazuki ASAI,DF,2003/07/06,175,65,,,,,,,,,,,,,,,,,,,,,,
87,浅井　寛大,Kanta ASAI,MF,2004/05/16,174,68,,,,,,,,,,,,,,,,,,,,,,
88,浅井　昂介,Kosuke ASAI,MF,2000/11/25,171,55,,,,,,,,,,,,,,,,,,,,,,
89,浅井　俊光,Toshimitsu ASAI,GK,1983/04/04,182,79,,,,,,,,,,,,,,,,,,,,,,
90,浅川　隼人,Hayato ASAKAWA,FW,1995/05/10,178,70,ロアッソ熊本,Ｙ．Ｓ．Ｃ．Ｃ．横浜,桐蔭横浜大,八千代高,ジェフユナイテッド千葉Ｊｒユース,千葉アミカルＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,浅川　将輝,Masaki ASAKAWA,GK,1999/01/06,180,74,,,,,,,,,,,,,,,,,,,,,,
92,朝倉　爽,So ASAKURA,MF,2003/02/16,171,58,,,,,,,,,,,,,,,,,,,,,,
93,朝倉　徳明,Noriaki ASAKURA,MF,1973/05/11,176,72,,,,,,,,,,,,,,,,,,,,,,
94,麻田　将吾,Shogo ASADA,DF,1998/07/06,186,80,京都サンガF.C.,カマタマーレ讃岐,京都サンガF.C.,カマタマーレ讃岐,京都サンガF.C.,京都サンガF.C.Ｕ-１８,アルフット安曇野Ｊｒユース,アルフット安曇野ジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,浅田　大樹,Daiki ASADA,DF,1989/04/05,177,72,,,,,,,,,,,,,,,,,,,,,,
96,浅沼　優瑠,Suguru ASANUMA,GK,1992/04/12,183,80,カマタマーレ讃岐,栃木ＳＣ,ＳＣ相模原,Ｙ．Ｓ．Ｃ．Ｃ．横浜,東洋大,成立学園高,ヴェルディＳＳ調布Ｊｒユース,八王子愛宕ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,浅沼　達也,Tatsuya ASANUMA,MF,1970/07/13,173,63,,,,,,,,,,,,,,,,,,,,,,
98,浅野　薫,Kaoru ASANO,DF,1973/05/19,181,75,,,,,,,,,,,,,,,,,,,,,,
99,浅野　拓磨,Takuma ASANO,FW,1994/11/10,171,70,,,,,,,,,,,,,,,,,,,,,,
100,浅野　哲也,Tetsuya ASANO,MF,1967/02/23,185,79,,,,,,,,,,,,,,,,,,,,,,
101,浅野　直希,Naoki ASANO,MF,2003/04/21,171,68,ガンバ大阪,ガンバ大阪Ｊｒユース,T・フジタＳＣ枚方,高槻松原ＳＣ,アバンティ枚方,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,浅野　雄也,Yuya ASANO,MF,1997/02/17,173,72,サンフレッチェ広島,水戸ホーリーホック,サンフレッチェ広島,水戸ホーリーホック,大阪体育大,四日市四郷高,八風中,ぺルナＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,朝日　大輔,Daisuke ASAHI,MF,1980/07/26,173,62,,,,,,,,,,,,,,,,,,,,,,
104,朝比奈　伸,Shin ASAHINA,DF,1976/08/20,182,76,,,,,,,,,,,,,,,,,,,,,,
105,浅利　悟,Satoru ASARI,MF,1974/06/10,176,70,,,,,,,,,,,,,,,,,,,,,,
106,アシス,Roberto De ASSIS Moreira,MF,1971/11/10,171,70,,,,,,,,,,,,,,,,,,,,,,
107,アシチェリッチ,Nikola ASCERIC,FW,1991/04/19,196,91,,,,,,,,,,,,,,,,,,,,,,
108,芦野　翔斗,Shoto ASHINO,MF,1992/07/24,171,66,,,,,,,,,,,,,,,,,,,,,,
109,芦部　晃生,Kosei ASHIBE,FW,2001/04/05,170,60,,,,,,,,,,,,,,,,,,,,,,
110,アジウソン,ADILSON Dias Batista,DF,1968/03/16,183,78,,,,,,,,,,,,,,,,,,,,,,
111,アジェノール,Agenor DETOFOL,GK,1989/12/11,187,84,ＳＣ相模原,クリシューマＥＣ／ブラジル,フルミネンセＦＣ／ブラジル,グアラニ／ブラジル,スポルチ　レシフェ／ブラジル,ジョインビレＳＣ／ブラジル,ＳＣインテルナシオナル／ブラジル,クリシウーマ／ブラジル,ＳＣインテルナシオナル／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-,-
112,アジエル,ADIEL De Oliveira Amorim,MF,1980/08/13,167,67,,,,,,,,,,,,,,,,,,,,,,
113,足助　翔,Sho ASUKE,DF,1985/10/28,178,73,,,,,,,,,,,,,,,,,,,,,,
114,東　浩史,Hiroshi AZUMA,MF,1987/05/15,168,60,ＡＣ長野パルセイロ,Ｖ・ファーレン長崎,愛媛ＦＣ,阪南大,ＦＣみやぎバルセロナユース,ＦＣみやぎバルセロナＪｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,麻生　瞬,Shun ASO,DF,1985/04/23,170,65,,,,,,,,,,,,,,,,,,,,,,
116,アタリバ,Carlos Eduardo Soares(ATALIBA),MF,1979/03/02,180,80,,,,,,,,,,,,,,,,,,,,,,
117,アダイウトン,ADAILTON Dos Santos Da Silva,MF,1990/12/06,176,83,ＦＣ東京,ジュビロ磐田,パラナ／ブラジル,ポンチプレッタ／ブラジル,イトゥアーノ／ブラジル,ジョインビレ／ブラジル,イトゥアーノ／ブラジル,アトレチコ　パラナエンセ／ブラジル,ヴィトーリア／ブラジル,フォルタレーザ／ブラジル,-,-,-,-,-,-,-,-,-,-,-,-
118,アダウト,ADALTO Batista Da Silva,MF,1978/08/30,170,66,,,,,,,,,,,,,,,,,,,,,,
119,足立　快斗,Kaito ADACHI,MF,2004/09/03,169,55,,,,,,,,,,,,,,,,,,,,,,
120,足立　翼,Tsubasa ADACHI,MF,2000/09/06,176,65,,,,,,,,,,,,,,,,,,,,,,
121,足立　丈英,Hirohide ADACHI,DF,1999/04/17,184,71,,,,,,,,,,,,,,,,,,,,,,
122,アダム　タガート,Adam Jake Taggart(ADAM TAGGART),FW,1993/06/02,183,69,セレッソ大阪,水原三星ブルーウィングス／大韓民国,ブリスベン　ロアー／オーストラリア,パース　グローリー／オーストラリア,フルハム／イングランド,ダンディーＵＦＣ／スコットランド,フルハム／イングランド,ニューキャッスル／オーストラリア,パース　グローリー／オーストラリア,-,-,-,-,-,-,-,-,-,-,-,-,-
123,アチーレ　エマナ（エマナ）,ACHILLE EMANA Edzimbi,FW,1982/06/05,180,80,,,,,,,,,,,,,,,,,,,,,,
124,熱川　徳政,Norimasa ATSUKAWA,DF,1995/05/31,170,68,,,,,,,,,,,,,,,,,,,,,,
125,熱田　眞,Makoto ATSUTA,MF,1976/09/16,174,68,,,,,,,,,,,,,,,,,,,,,,
126,渥美　瑛亮,Eisuke ATSUMI,MF,1995/12/01,173,65,,,,,,,,,,,,,,,,,,,,,,
127,吾妻　弘将,Hiromasa AZUMA,GK,1977/08/29,180,72,,,,,,,,,,,,,,,,,,,,,,
128,アデミウソン,ADEMILSON Braga Bispo Junior,FW,1994/01/09,176,74,,,,,,,,,,,,,,,,,,,,,,
129,アドリアーノ,ADRIANO Gerlin Da Silva,MF,1974/09/20,171,71,,,,,,,,,,,,,,,,,,,,,,
130,アドリアーノ,ADRIANO Ferreira Martins,FW,1982/01/21,175,76,,,,,,,,,,,,,,,,,,,,,,
131,アドリアーノ,ADRIANO Faria Pimenta,MF,1982/11/14,170,64,,,,,,,,,,,,,,,,,,,,,,
132,アドリエル,ADRIEL Tadeu Ferreira Da Silva,DF,1997/05/22,184,78,,,,,,,,,,,,,,,,,,,,,,
133,アナイウソン,ANAILSON Brito Noleto,MF,1978/03/08,164,59,,,,,,,,,,,,,,,,,,,,,,
134,阿野　真拓,Mahiro ANO,MF,2003/08/30,158,55,東京ヴェルディ,ヴェルディＳＳ小山,南河内サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,安彦　考真,Takamasa ABIKO,FW,1978/02/01,175,74,,,,,,,,,,,,,,,,,,,,,,
136,アピアタウィア　久,Hisashi APPIAH TAWIAH,DF,1998/10/18,191,83,ベガルタ仙台,流通経済大,東邦高,愛知ＦＣ　Ｕ-１５,愛知ＦＣ　Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,アピッチ　輝,Akira APITCHI,GK,2003/12/09,185,81,,,,,,,,,,,,,,,,,,,,,,
138,アフォンソ,Manoel AFONSO Junior,FW,1991/11/14,172,70,,,,,,,,,,,,,,,,,,,,,,
139,アフメド　ヤセル,AHMED YASSER,DF,1994/05/17,182,77,,,,,,,,,,,,,,,,,,,,,,
140,アブダ,Adailson Pereira Coelho(ABUDA),FW,1986/03/28,176,75,,,,,,,,,,,,,,,,,,,,,,
141,阿部　海大,Kaito ABE,DF,1999/09/18,183,75,ファジアーノ岡山,東福岡高,スマイスセレソンＦＣ,きつきＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,阿部　一樹,Kazuki ABE,GK,1987/04/18,186,78,,,,,,,,,,,,,,,,,,,,,,
143,阿部　要門,Kanato ABE,FW,2002/04/03,185,79,モンテディオ山形,尚志高,福島ユナイテッドＦＣ　Ｕ-１５,蓬莱ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,阿部　空矢,Kuya ABE,DF,1999/12/25,168,64,,,,,,,,,,,,,,,,,,,,,,
145,阿部　謙作,Kensaku ABE,GK,1980/05/13,181,76,,,,,,,,,,,,,,,,,,,,,,
146,阿部　航斗,Koto ABE,GK,1997/08/01,185,82,アルビレックス新潟,筑波大,アルビレックス新潟Ｕ-１８,アルビレックス新潟Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,阿部　嵩,Shu ABE,MF,1984/06/07,175,68,,,,,,,,,,,,,,,,,,,,,,
148,安部　柊斗,Shuto ABE,MF,1997/12/05,171,67,ＦＣ東京,明治大,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５むさし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,阿部　翔平,Shohei ABE,DF,1983/12/01,170,72,,,,,,,,,,,,,,,,,,,,,,
150,安部　大晴,Taisei ABE,MF,2004/06/07,172,65,Ｖ・ファーレン長崎,Ｖ・ファーレン長崎Ｕ-１５,Ｖ・ファーレン長崎Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,安部　崇士,Takashi ABE,DF,1997/07/15,180,74,徳島ヴォルティス,中央大,桐光学園高,町田ＪＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,阿部　拓馬,Takuma ABE,FW,1987/12/05,171,72,ＦＣ琉球,ベガルタ仙台,蔚山現代ＦＣ／大韓民国,ＦＣ東京,ヴァンフォーレ甲府,ＶｆＲアーレン／ドイツ,東京ヴェルディ,法政大,横河武蔵野ＦＣユース,ＦＣ　ＶＩＤＡ,小平ＦＣイレブン,-,-,-,-,-,-,-,-,-,-,-
153,阿部　巧,Takumi ABE,DF,1991/05/26,168,68,,,,,,,,,,,,,,,,,,,,,,
154,阿部　哲也,Tetsuya ABE,GK,1983/06/24,188,76,,,,,,,,,,,,,,,,,,,,,,
155,阿部　敏之,Toshiyuki ABE,MF,1974/08/01,180,70,,,,,,,,,,,,,,,,,,,,,,
156,阿部　伸行,Nobuyuki ABE,GK,1984/04/27,186,81,ＦＣ東京,ＡＣ長野パルセイロ,ギラヴァンツ北九州,湘南ベルマーレ,ＦＣ東京,流通経済大,ＦＣ東京Ｕ-１８,東大和三中,大和サンデーズ,-,-,-,-,-,-,-,-,-,-,-,-,-
157,阿部　隼人,Hayato ABE,DF,1998/06/27,166,64,ザスパクサツ群馬,早稲田大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース追浜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,阿部　輝,Hikaru ABE,GK,1998/05/06,180,74,,,,,,,,,,,,,,,,,,,,,,
159,安部　裕葵,Hiroki ABE,FW,1999/01/28,171,65,,,,,,,,,,,,,,,,,,,,,,
160,阿部　浩之,Hiroyuki ABE,MF,1989/07/05,170,67,名古屋グランパス,川崎フロンターレ,ガンバ大阪,関西学院大,大阪桐蔭高,高田ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
